Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
526673,2018-04-17 13:46:33,0,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.816413405585,μmol/L,30.2362723593665,°C,997,hPa,Humid,35,0,0,22.23,113106.296755545,238434.98962494,34.3,54,0
526683,2018-04-17 13:46:34,0.0151841583333333,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.799183134878,μmol/L,30.2452433508729,°C,997,hPa,Humid,35,0,0,22.228,113081.852444369,238405.039481565,34.3,54,0
526693,2018-04-17 13:46:35,0.032001805,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.770787247329,μmol/L,30.2425730532332,°C,997,hPa,Humid,35,0,0,22.231,113071.430385013,238380.39067091,34.3,54,0
526699,2018-04-17 13:46:36,0.0486027383333333,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.758598277582,μmol/L,30.2394527081246,°C,997,hPa,Humid,35,0,0,22.233,113055.5793239,238379.205631958,34.3,54,0
526707,2018-04-17 13:46:37,0.0659203533333333,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.75181029552,μmol/L,30.240802857094,°C,997,hPa,Humid,35,0,0,22.233,113049.284695834,238365.03052887,34.3,54,0
526721,2018-04-17 13:46:38,0.08203793,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.759352503125,μmol/L,30.2393026916061,°C,997,hPa,Humid,35,0,0,22.233,113048.417465215,238358.947663725,34.3,54,0
526724,2018-04-17 13:46:39,0.09862225,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.800408047733,μmol/L,30.2255912101396,°C,997,hPa,Humid,35,0,0,22.235,113037.907816426,238361.12612754,34.3,54,0
526743,2018-04-17 13:46:40,0.115173138333333,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.719623348695,μmol/L,30.2444332603532,°C,997,hPa,Humid,35,0,0,22.234,113035.309641142,238352.665409589,34.3,54,0
526753,2018-04-17 13:46:41,0.132307461666667,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.794021171133,μmol/L,30.2379525432398,°C,997,hPa,Humid,35,0,0,22.231,112987.335603008,238347.622787191,34.3,54,0
526756,2018-04-17 13:46:42,0.149425068333333,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.670438197582,μmol/L,30.245903424774,°C,997,hPa,Humid,35,0,0,22.237,112997.772713313,238350.250744515,34.3,54,0
526772,2018-04-17 13:46:43,0.170442923333333,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.785475205135,μmol/L,30.2285615263136,°C,997,hPa,Humid,35,0,0,22.235,113012.793143784,238362.585149239,34.3,54,0
526780,2018-04-17 13:46:44,0.183877016666667,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.718115100221,μmol/L,30.2447332938555,°C,997,hPa,Humid,35,0,0,22.234,112995.354652229,238347.601619299,34.3,54,0
526784,2018-04-17 13:46:45,0.198527843333333,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.751717122763,μmol/L,30.2297316515887,°C,997,hPa,Humid,35,0,0,22.237,112998.300367059,238346.913819168,34.3,54,0
526797,2018-04-17 13:46:46,0.221395841666667,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.714193674051,μmol/L,30.2455133810895,°C,997,hPa,Humid,35,0,0,22.234,113008.144852919,238348.577742546,34.3,54,0
526805,2018-04-17 13:46:47,0.231963081666667,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.721977577922,μmol/L,30.241192900231,°C,997,hPa,Humid,35,0,0,22.235,112982.979761258,238342.463182293,34.3,54,0
526814,2018-04-17 13:46:48,0.248564003333333,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.87583284023,μmol/L,30.2105896535008,°C,997,hPa,Humid,35,0,0,22.235,112980.912589636,238336.640425587,34.3,54,0
526827,2018-04-17 13:46:50,0.274482195,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.805147994182,μmol/L,30.2274214046424,°C,997,hPa,Humid,35,0,0,22.234,113006.307066586,238353.517388639,34.3,54,0
526841,2018-04-17 13:46:50,0.282749298333333,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,161.645748504889,μmol/L,30.2452733542291,°C,997,hPa,Humid,35,0,0,22.239,112979.411528572,238328.526089374,34.3,54,0
