Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
126186,2018-04-11 09:11:05,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.71553620121,μmol/L,27.028803485915,°C,1008,hPa,Humid,35,0,0,20.572,140218.46912718,320497.915524396,33.95,65,0
126190,2018-04-11 09:11:06,0.0239680166666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.715620183903,μmol/L,27.0245054058846,°C,1007,hPa,Humid,35,0,0,20.573,140182.939260783,320369.866481325,33.95,65,0
126194,2018-04-11 09:11:07,0.0410856683333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.643827867164,μmol/L,27.0331917411345,°C,1007,hPa,Humid,35,0,0,20.574,140164.441533794,320288.206342798,33.95,65,0
126196,2018-04-11 09:11:08,0.0572032116666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.679652801713,μmol/L,27.0242950104998,°C,1007,hPa,Humid,35,0,0,20.575,140148.488057641,320233.498991288,33.95,65,0
126201,2018-04-11 09:11:09,0.0746042,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.696898308142,μmol/L,27.0184340015126,°C,1007,hPa,Humid,35,0,0,20.576,140138.42413356,320192.779724018,33.95,65,0
126208,2018-04-11 09:11:10,0.0911718283333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.672478614559,μmol/L,27.0254672135252,°C,1007,hPa,Humid,35,0,0,20.575,140128.46749802,320139.641170265,33.95,65,0
126213,2018-04-11 09:11:11,0.107356096666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.64475206549,μmol/L,27.0208685732341,°C,1007,hPa,Humid,35,0,0,20.578,140121.566462574,320111.520863623,33.95,65,0
126218,2018-04-11 09:11:12,0.124423681666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.554785665906,μmol/L,27.0429000247796,°C,1008,hPa,Humid,35,0,0,20.576,140111.552132511,320076.075962652,33.95,65,0
126223,2018-04-11 09:11:13,0.140674666666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.498016287241,μmol/L,27.044853707544,°C,1007,hPa,Humid,35,0,0,20.578,140104.579781885,320047.022079169,33.95,65,0
126229,2018-04-11 09:11:14,0.157075533333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.593670001357,μmol/L,27.0322599878346,°C,1007,hPa,Humid,35,0,0,20.577,140100.527321665,320052.55652609,33.95,65,0
126238,2018-04-11 09:11:15,0.17412654,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.644842143551,μmol/L,27.026939982009,°C,1007,hPa,Humid,35,0,0,20.576,140093.720540584,320000.847048636,33.95,65,0
126241,2018-04-11 09:11:16,0.190894105,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.631515751728,μmol/L,27.0212292506758,°C,1008,hPa,Humid,35,0,0,20.579,140086.728873954,320005.57613298,33.95,65,0
126247,2018-04-11 09:11:17,0.207395051666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.543950808491,μmol/L,27.0325004402748,°C,1008,hPa,Humid,35,0,0,20.58,140086.275708914,319992.124633337,33.95,65,0
126253,2018-04-11 09:11:18,0.224212675,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.58516789825,μmol/L,27.0306068777768,°C,1007,hPa,Humid,35,0,0,20.578,140075.284603543,319973.920884897,33.95,65,0
126260,2018-04-11 09:11:19,0.241046945,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.648159363423,μmol/L,27.0245955753389,°C,1008,hPa,Humid,35,0,0,20.577,140064.740454434,319953.173818093,33.95,65,0
126268,2018-04-11 09:11:20,0.257814591666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.64475206549,μmol/L,27.0208685732341,°C,1007,hPa,Humid,35,0,0,20.578,140054.551479348,319935.626685986,33.95,65,0
126278,2018-04-11 09:11:21,0.274198835,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.546838052224,μmol/L,27.0307872170165,°C,1007,hPa,Humid,35,0,0,20.58,140045.097120166,319938.041421548,33.95,65,0
126284,2018-04-11 09:11:22,0.290433115,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.63275650063,μmol/L,27.0301560297207,°C,1008,hPa,Humid,35,0,0,20.576,140038.037599669,319924.536700865,33.95,65,0
126292,2018-04-11 09:11:23,0.307200726666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.560837309725,μmol/L,27.043711554405,°C,1007,hPa,Humid,35,0,0,20.575,140025.162271528,319903.642502446,33.95,65,0
126302,2018-04-11 09:11:24,0.323851613333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.585677745357,μmol/L,27.0378505115159,°C,1008,hPa,Humid,35,0,0,20.576,140017.235954348,319900.944814625,33.95,65,0
126316,2018-04-11 09:11:25,0.34083595,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.666592209193,μmol/L,27.0264290214418,°C,1007,hPa,Humid,35,0,0,20.575,140003.37146366,319892.467070913,33.95,65,0
126321,2018-04-11 09:11:26,0.357070183333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.684481750722,μmol/L,27.0265492474509,°C,1007,hPa,Humid,35,0,0,20.574,139995.768606451,319863.58358794,33.95,65,0
126334,2018-04-11 09:11:27,0.374987858333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,207.564432852089,μmol/L,27.0474085251831,°C,1008,hPa,Humid,35,0,0,20.574,139991.066933537,319874.612031223,33.95,65,0
