Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
712140,2018-04-21 10:14:20,0,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.191104399476,μmol/L,32.5602692318535,°C,1016,hPa,Humid,35,0,0,20.097,162929.400372399,286495.432791336,43.75,60,0
712142,2018-04-21 10:14:21,0.00938380833333333,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.203886465611,μmol/L,32.5553676545701,°C,1016,hPa,Humid,35,0,0,20.098,162863.141103452,286433.960646291,43.75,60,0
712144,2018-04-21 10:14:22,0.02653479,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.131615214462,μmol/L,32.5563599978577,°C,1016,hPa,Humid,35,0,0,20.102,162857.750524922,286429.169959187,43.75,60,0
712147,2018-04-21 10:14:23,0.0427190483333333,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.166224420259,μmol/L,32.5588859639188,°C,1016,hPa,Humid,35,0,0,20.099,162853.437483926,286418.877576603,43.75,60,0
712150,2018-04-21 10:14:24,0.060020085,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.159000602398,μmol/L,32.5545557375526,°C,1016,hPa,Humid,35,0,0,20.101,162842.631710918,286416.239547222,43.75,60,0
712153,2018-04-21 10:14:25,0.0760876283333333,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.170167809681,μmol/L,32.5526913362564,°C,1016,hPa,Humid,35,0,0,20.101,162828.332326834,286404.479946698,43.75,60,0
712160,2018-04-21 10:14:26,0.0931386466666667,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.009875234489,μmol/L,32.5739215155777,°C,1016,hPa,Humid,35,0,0,20.103,162837.061498764,286401.554078404,43.75,60,0
712168,2018-04-21 10:14:27,0.110006291666667,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.037067233778,μmol/L,32.5721473169715,°C,1016,hPa,Humid,35,0,0,20.102,162832.033595152,286406.123197997,43.75,60,0
712171,2018-04-21 10:14:28,0.126090526666667,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.063539995779,μmol/L,32.567726860123,°C,1016,hPa,Humid,35,0,0,20.102,162826.781949634,286401.234965369,43.75,60,0
712178,2018-04-21 10:14:29,0.142958126666667,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.142798477446,μmol/L,32.5600286634763,°C,1016,hPa,Humid,35,0,0,20.1,162824.161520875,286392.984915556,43.75,60,0
712186,2018-04-21 10:14:30,0.159925781666667,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.030210763248,μmol/L,32.5594573136491,°C,1016,hPa,Humid,35,0,0,20.107,162822.261696233,286388.625911002,43.75,60,0
712194,2018-04-21 10:14:31,0.176293366666667,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.039400682958,μmol/L,32.5634567644865,°C,1016,hPa,Humid,35,0,0,20.105,162821.749741168,286405.446769246,43.75,60,0
712203,2018-04-21 10:14:32,0.192761006666667,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,181.943624400218,μmol/L,32.576688064431,°C,1016,hPa,Humid,35,0,0,20.106,162814.214185773,286387.98840267,43.75,60,0
712212,2018-04-21 10:14:33,0.209295246666667,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,182.045697536814,μmol/L,32.5596377398992,°C,1016,hPa,Humid,35,0,0,20.106,162816.955528615,286375.544277732,43.75,60,0
712216,2018-04-21 10:14:34,0.226279595,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,181.997988661741,μmol/L,32.5648400343084,°C,1016,hPa,Humid,35,0,0,20.107,162822.87470801,286380.771719457,43.75,60,0
712230,2018-04-21 10:14:35,0.243063866666667,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,181.937150316357,μmol/L,32.5694709852582,°C,1016,hPa,Humid,35,0,0,20.109,162826.201729168,286377.892699498,43.75,60,0
712235,2018-04-21 10:14:36,0.262414965,Oxy2 (PSt7-10),2018-04-04 12:20:00,default,181.960187549954,μmol/L,32.5683884247223,°C,1016,hPa,Humid,35,0,0,20.108,162827.310823651,286368.125672605,43.75,60,0
