Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
387454,2018-04-15 14:13:55,0,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,180.313705836265,μmol/L,29.574053553622,°C,995,hPa,Humid,35,0,0,21.153,140641.159299951,230614.108003905,30.6166368558801,27,FALSE
387459,2018-04-15 14:13:56,0.00826713666666667,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,180.357159607344,μmol/L,29.5546306924957,°C,995,hPa,Humid,35,0,0,21.157,140599.106202711,230575.755178647,30.6166368558801,27,FALSE
387460,2018-04-15 14:13:57,0.0248347866666667,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,180.411629298586,μmol/L,29.5563170139644,°C,995,hPa,Humid,35,0,0,21.153,140590.478963324,230571.867793576,30.6166368558801,27,FALSE
387470,2018-04-15 14:13:58,0.04201911,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,180.316919792738,μmol/L,29.5648088599592,°C,995,hPa,Humid,35,0,0,21.156,140580.462135148,230552.912882747,30.6166368558801,27,FALSE
387474,2018-04-15 14:13:59,0.0583033533333333,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,180.24626316487,μmol/L,29.5804977525495,°C,995,hPa,Humid,35,0,0,21.155,140571.085732084,230559.036122925,30.6166368558801,27,FALSE
387478,2018-04-15 14:14:00,0.0752876683333333,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,180.139850954803,μmol/L,29.5882368302409,°C,995,hPa,Humid,35,0,0,21.159,140577.593060801,230547.920511597,30.6166368558801,27,FALSE
387487,2018-04-15 14:14:01,0.0916386283333333,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,180.204333875315,μmol/L,29.573662083993,°C,995,hPa,Humid,35,0,0,21.16,140583.426903001,230552.755002046,30.6166368558801,27,FALSE
387492,2018-04-15 14:14:02,0.108739646666667,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,180.275554842073,μmol/L,29.5694161471019,°C,995,hPa,Humid,35,0,0,21.157,140575.059400383,230546.00978449,30.6166368558801,27,FALSE
387499,2018-04-15 14:14:03,0.125140581666667,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,180.202294748774,μmol/L,29.579805151137,°C,995,hPa,Humid,35,0,0,21.158,140573.528624927,230537.798936786,30.6166368558801,27,FALSE
387509,2018-04-15 14:14:04,0.141624846666667,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,180.1952188657,μmol/L,29.5724274493068,°C,995,hPa,Humid,35,0,0,21.161,140576.68233262,230534.613871127,30.6166368558801,27,FALSE
