Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
665725,2018-04-19 15:48:25,0,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.976662026404,μmol/L,31.1717116170616,°C,999,hPa,Humid,35,0,0,24.797,131934.316275857,442960.30680107,38.5,45,0
665732,2018-04-19 15:48:26,0.022434545,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.991904007378,μmol/L,31.160202458776,°C,999,hPa,Humid,35,0,0,24.8,131894.211507528,442887.90788662,38.5,45,0
665733,2018-04-19 15:48:27,0.0397188533333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.878552089395,μmol/L,31.1882391980671,°C,999,hPa,Humid,35,0,0,24.8,131869.762767615,442830.185807354,38.5,45,0
665738,2018-04-19 15:48:28,0.0559197816666667,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.75681301021,μmol/L,31.2106266877213,°C,999,hPa,Humid,35,0,0,24.803,131846.167017105,442804.772624156,38.5,45,0
665743,2018-04-19 15:48:29,0.0725373383333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.867764381662,μmol/L,31.1883293487322,°C,999,hPa,Humid,35,0,0,24.801,131831.162437005,442770.774434477,38.5,45,0
665752,2018-04-19 15:48:30,0.0897050133333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.880419870396,μmol/L,31.1826198113831,°C,999,hPa,Humid,35,0,0,24.802,131819.352639019,442741.958823067,38.5,45,0
665755,2018-04-19 15:48:31,0.105922611666667,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.870095494036,μmol/L,31.1851740768898,°C,999,hPa,Humid,35,0,0,24.802,131814.301092543,442751.344380001,38.5,45,0
665762,2018-04-19 15:48:32,0.12299015,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.847771031673,μmol/L,31.1881189971837,°C,999,hPa,Humid,35,0,0,24.803,131811.407483892,442713.192008074,38.5,45,0
665773,2018-04-19 15:48:33,0.139524436666667,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.848910692172,μmol/L,31.1826799117257,°C,999,hPa,Humid,35,0,0,24.805,131800.00746605,442716.726721479,38.5,45,0
665777,2018-04-19 15:48:34,0.156908755,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.905785550179,μmol/L,31.1789236423892,°C,999,hPa,Humid,35,0,0,24.801,131789.938033693,442701.030988729,38.5,45,0
665782,2018-04-19 15:48:35,0.172692916666667,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.879280964224,μmol/L,31.1880588967433,°C,999,hPa,Humid,35,0,0,24.8,131790.180909029,442690.531194792,38.5,45,0
665796,2018-04-19 15:48:36,0.189110535,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.749764644333,μmol/L,31.2020623283861,°C,999,hPa,Humid,35,0,0,24.807,131783.275275385,442693.434808235,38.5,45,0
665804,2018-04-19 15:48:37,0.205678126666667,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.834942872289,μmol/L,31.1990272448893,°C,999,hPa,Humid,35,0,0,24.8,131776.115784132,442684.846265852,38.5,45,0
665813,2018-04-19 15:48:38,0.222812438333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.901898278559,μmol/L,31.1798852469392,°C,999,hPa,Humid,35,0,0,24.801,131765.143665463,442676.504286824,38.5,45,0
665827,2018-04-19 15:48:39,0.239513358333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.879934012945,μmol/L,31.1827400120696,°C,999,hPa,Humid,35,0,0,24.802,131755.590555854,442652.285681864,38.5,45,0
665832,2018-04-19 15:48:40,0.256764291666667,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.947715375732,μmol/L,31.165972057991,°C,999,hPa,Humid,35,0,0,24.802,131740.24056422,442660.663580845,38.5,45,0
665848,2018-04-19 15:48:41,0.27293189,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.895460046809,μmol/L,31.1814779050801,°C,999,hPa,Humid,35,0,0,24.801,131727.114632506,442652.519994893,38.5,45,0
665850,2018-04-19 15:48:42,0.28921609,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.85275048494,μmol/L,31.1868869383784,°C,999,hPa,Humid,35,0,0,24.803,131727.724490452,442647.387859917,38.5,45,0
665865,2018-04-19 15:48:43,0.307367123333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.899689860083,μmol/L,31.1830104636288,°C,999,hPa,Humid,35,0,0,24.8,131739.97279166,442652.058895789,38.5,45,0
665873,2018-04-19 15:48:44,0.323151341666667,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.925728009169,μmol/L,31.1714111163428,°C,999,hPa,Humid,35,0,0,24.802,131737.555794298,442648.381597267,38.5,45,0
665880,2018-04-19 15:48:45,0.339368905,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.954049874515,μmol/L,31.1618251575514,°C,999,hPa,Humid,35,0,0,24.803,131719.346299117,442632.719260623,38.5,45,0
665892,2018-04-19 15:48:46,0.356536568333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,126.820106584521,μmol/L,31.1923861311784,°C,999,hPa,Humid,35,0,0,24.804,131718.92513954,442636.874834012,38.5,45,0
