Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
563693,2018-04-17 15:35:15,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.699622801606,μmol/L,30.1127269332042,°C,995,hPa,Humid,35,0,0,22.801,137543.728876111,316334.253408825,33.95,65,0
563695,2018-04-17 15:35:16,0.0106672833333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.736026975291,μmol/L,30.1024682497509,°C,995,hPa,Humid,35,0,0,22.802,137543.8850361,316294.036317125,33.95,65,0
563698,2018-04-17 15:35:17,0.030568395,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.670927040476,μmol/L,30.1049652284646,°C,995,hPa,Humid,35,0,0,22.806,137503.990589625,316253.527575842,33.95,65,0
563703,2018-04-17 15:35:18,0.04253575,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.617065424353,μmol/L,30.1188340235922,°C,995,hPa,Humid,35,0,0,22.805,137503.665164889,316221.810454638,33.95,65,0
563705,2018-04-17 15:35:19,0.0601200766666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.700051446748,μmol/L,30.1044237148503,°C,995,hPa,Humid,35,0,0,22.804,137513.232295196,316216.732221686,33.95,65,0
563711,2018-04-17 15:35:20,0.0761210083333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.688679454117,μmol/L,30.0958196769398,°C,995,hPa,Humid,35,0,0,22.808,137509.450260825,316187.72334548,33.95,65,0
563718,2018-04-17 15:35:21,0.09755555,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.704115149715,μmol/L,30.0953684168194,°C,995,hPa,Humid,35,0,0,22.807,137529.060265825,316208.403491983,33.95,65,0
563724,2018-04-17 15:35:22,0.10930617,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.6789265654,μmol/L,30.0978353062192,°C,995,hPa,Humid,35,0,0,22.808,137502.818359792,316182.454502783,33.95,65,0
563733,2018-04-17 15:35:23,0.125890443333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.608029758651,μmol/L,30.0933227050359,°C,995,hPa,Humid,35,0,0,22.815,137551.639934164,316182.168363746,33.95,65,0
563738,2018-04-17 15:35:24,0.142474718333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.521855564252,μmol/L,30.1124260916004,°C,994,hPa,Humid,35,0,0,22.814,137533.431091513,316172.208654772,33.95,65,0
563747,2018-04-17 15:35:25,0.159175683333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.522867554262,μmol/L,30.1176908235602,°C,994,hPa,Humid,35,0,0,22.812,137551.971309837,316177.293185267,33.95,65,0
563754,2018-04-17 15:35:27,0.19249423,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.580973742354,μmol/L,30.1126065965591,°C,995,hPa,Humid,35,0,0,22.81,137581.456022252,316226.684618453,33.95,65,0
563772,2018-04-17 15:35:27,0.192527581666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.488456034489,μmol/L,30.1180518340543,°C,995,hPa,Humid,35,0,0,22.815,137546.222804916,316145.500543477,33.95,65,0
563779,2018-04-17 15:35:28,0.209161821666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.443525421657,μmol/L,30.1218725308349,°C,995,hPa,Humid,35,0,0,22.817,137586.305749765,316130.91753754,33.95,65,0
563789,2018-04-17 15:35:29,0.226296143333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.592754113747,μmol/L,30.0964815252264,°C,995,hPa,Humid,35,0,0,22.815,137574.228642856,316162.357477033,33.95,65,0
563799,2018-04-17 15:35:30,0.242513696666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.458368894724,μmol/L,30.1105909584026,°C,995,hPa,Humid,35,0,0,22.82,137594.888563953,316162.94580235,33.95,65,0
563811,2018-04-17 15:35:31,0.259064676666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.436414225111,μmol/L,30.1151336670046,°C,995,hPa,Humid,35,0,0,22.82,137608.738040854,316178.503786315,33.95,65,0
563813,2018-04-17 15:35:32,0.276182305,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.424928399141,μmol/L,30.1175103183277,°C,995,hPa,Humid,35,0,0,22.82,137614.283133699,316187.441090545,33.95,65,0
563827,2018-04-17 15:35:33,0.292783215,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.490213160923,μmol/L,30.0985272389371,°C,995,hPa,Humid,35,0,0,22.822,137602.981433808,316161.063677788,33.95,65,0
563833,2018-04-17 15:35:34,0.309667485,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,155.479890492698,μmol/L,30.1006632060557,°C,995,hPa,Humid,35,0,0,22.822,137643.511171666,316164.035235768,33.95,65,0
