Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
683992,2018-04-19 16:42:33,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.276113299845,μmol/L,31.12939477391,°C,1000,hPa,Humid,35,0,0,24.551,171344.040159608,315534.831771913,33.95,65,0
683994,2018-04-19 16:42:34,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.373542874612,μmol/L,31.1188621408996,°C,1000,hPa,Humid,35,0,0,24.546,171275.863165369,315475.980530309,33.95,65,0
683996,2018-04-19 16:42:35,0.0270347683333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.363372952504,μmol/L,31.1109476412971,°C,1000,hPa,Humid,35,0,0,24.55,171258.589304001,315439.502513862,33.95,65,0
684002,2018-04-19 16:42:36,0.0445024366666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.335772492619,μmol/L,31.1150102148049,°C,1000,hPa,Humid,35,0,0,24.551,171246.570120513,315430.37979865,33.95,65,0
684005,2018-04-19 16:42:37,0.061320025,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.315290179917,μmol/L,31.1173574817417,°C,1000,hPa,Humid,35,0,0,24.552,171227.649397485,315410.74425098,33.95,65,0
684013,2018-04-19 16:42:38,0.0774042733333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.277620852308,μmol/L,31.1316216776991,°C,1000,hPa,Humid,35,0,0,24.55,171218.98364947,315389.683273006,33.95,65,0
684019,2018-04-19 16:42:39,0.0941551816666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.308699731013,μmol/L,31.1241284532689,°C,1000,hPa,Humid,35,0,0,24.55,171214.571940313,315390.927402942,33.95,65,0
684021,2018-04-19 16:42:40,0.11183953,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.277839241386,μmol/L,31.123797427676,°C,1000,hPa,Humid,35,0,0,24.553,171195.682092126,315379.973073235,33.95,65,0
684031,2018-04-19 16:42:41,0.129973835,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.280117081696,μmol/L,31.1310198116644,°C,1000,hPa,Humid,35,0,0,24.55,171184.621134935,315371.557936823,33.95,65,0
684034,2018-04-19 16:42:42,0.144191328333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.344149314375,μmol/L,31.1155819848041,°C,1000,hPa,Humid,35,0,0,24.55,171171.237589166,315349.815297166,33.95,65,0
684044,2018-04-19 16:42:43,0.161375593333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.371611865125,μmol/L,31.1089614960401,°C,1000,hPa,Humid,35,0,0,24.55,171169.168883135,315355.619292174,33.95,65,0
684050,2018-04-19 16:42:44,0.18089339,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.288695915913,μmol/L,31.1211793173229,°C,1000,hPa,Humid,35,0,0,24.553,171171.459049102,315360.646033731,33.95,65,0
684060,2018-04-19 16:42:45,0.195444173333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.341028658743,μmol/L,31.116334313901,°C,1000,hPa,Humid,35,0,0,24.55,171141.411742125,315336.24490132,33.95,65,0
684067,2018-04-19 16:42:46,0.211845075,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.288729161661,μmol/L,31.1289433746742,°C,1000,hPa,Humid,35,0,0,24.55,171133.285268957,315332.716133797,33.95,65,0
684083,2018-04-19 16:42:47,0.231862886666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.278369719915,μmol/L,31.1314411178769,°C,1000,hPa,Humid,35,0,0,24.55,171134.827996512,315334.679730306,33.95,65,0
684086,2018-04-19 16:42:48,0.245346935,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.301481638039,μmol/L,31.1310499049632,°C,1000,hPa,Humid,35,0,0,24.548,171108.628811491,315318.721691017,33.95,65,0
684102,2018-04-19 16:42:49,0.262381213333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.293751560943,μmol/L,31.135503716218,°C,1000,hPa,Humid,35,0,0,24.547,171100.23162392,315315.048023312,33.95,65,0
684114,2018-04-19 16:42:50,0.27999887,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.289862672547,μmol/L,31.1312605580647,°C,1000,hPa,Humid,35,0,0,24.549,171107.606190867,315323.704382017,33.95,65,0
684116,2018-04-19 16:42:51,0.295266426666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.275873498601,μmol/L,31.132042983987,°C,1000,hPa,Humid,35,0,0,24.55,171083.148872852,315307.42245681,33.95,65,0
684131,2018-04-19 16:42:52,0.31210065,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.304092536407,μmol/L,31.127829923485,°C,1000,hPa,Humid,35,0,0,24.549,171085.310653286,315313.82988276,33.95,65,0
684142,2018-04-19 16:42:53,0.32995169,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.32544993729,μmol/L,31.1252719964764,°C,1000,hPa,Humid,35,0,0,24.548,171078.732893,315310.138844891,33.95,65,0
684146,2018-04-19 16:42:54,0.345169223333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.372875507943,μmol/L,31.1112485724989,°C,1000,hPa,Humid,35,0,0,24.549,171062.302930622,315285.993883074,33.95,65,0
684162,2018-04-19 16:42:55,0.364653621666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.359032315245,μmol/L,31.1171769226889,°C,1000,hPa,Humid,35,0,0,24.548,171065.533585797,315312.163944041,33.95,65,0
684173,2018-04-19 16:42:56,0.378337703333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.315576559762,μmol/L,31.125061343751,°C,1000,hPa,Humid,35,0,0,24.549,171054.354440575,315287.817260498,33.95,65,0
684182,2018-04-19 16:42:57,0.394338658333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.323214144058,μmol/L,31.1284016956711,°C,1000,hPa,Humid,35,0,0,24.547,171053.846570977,315284.208081906,33.95,65,0
684189,2018-04-19 16:42:58,0.411556205,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.361279537971,μmol/L,31.1166352455862,°C,1000,hPa,Humid,35,0,0,24.548,171066.51308203,315293.702217943,33.95,65,0
684195,2018-04-19 16:42:59,0.430907321666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.301210680859,μmol/L,31.125934047986,°C,1000,hPa,Humid,35,0,0,24.55,171062.169647141,315308.987627854,33.95,65,0
684209,2018-04-19 16:43:00,0.446191606666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.35041804839,μmol/L,31.1192533523913,°C,1000,hPa,Humid,35,0,0,24.548,171047.828820519,315284.162500435,33.95,65,0
684220,2018-04-19 16:43:01,0.461392356666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.311706915888,μmol/L,31.1259942344927,°C,1000,hPa,Humid,35,0,0,24.549,171040.617947907,315285.968080716,33.95,65,0
684228,2018-04-19 16:43:02,0.477959948333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.35081806537,μmol/L,31.1243391059361,°C,1000,hPa,Humid,35,0,0,24.546,171027.00990225,315292.139187657,33.95,65,0
684241,2018-04-19 16:43:03,0.495027521666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.392397702445,μmol/L,31.1143180723038,°C,1000,hPa,Humid,35,0,0,24.546,171025.716951788,315278.502936177,33.95,65,0
684252,2018-04-19 16:43:04,0.512078515,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.364178139331,μmol/L,31.1211191309021,°C,1000,hPa,Humid,35,0,0,24.546,171016.601133556,315280.760732088,33.95,65,0
684255,2018-04-19 16:43:05,0.52939613,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.367049974175,μmol/L,31.12042698714,°C,1000,hPa,Humid,35,0,0,24.546,171009.825934109,315273.7953577,33.95,65,0
684268,2018-04-19 16:43:06,0.543830268333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.267800123218,μmol/L,31.1469392046456,°C,1000,hPa,Humid,35,0,0,24.545,171003.495198766,315264.073057229,33.95,65,0
684280,2018-04-19 16:43:07,0.56341471,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.307520319168,μmol/L,31.1425455650042,°C,1000,hPa,Humid,35,0,0,24.543,171014.289128573,315274.311306846,33.95,65,0
684287,2018-04-19 16:43:08,0.580715666666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.370709296093,μmol/L,31.1273183379267,°C,1000,hPa,Humid,35,0,0,24.543,170999.375578824,315265.371310837,33.95,65,0
684298,2018-04-19 16:43:09,0.594149763333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.293626722906,μmol/L,31.1355338095573,°C,1000,hPa,Humid,35,0,0,24.547,170987.908544969,315251.227037364,33.95,65,0
684310,2018-04-19 16:43:10,0.612017391666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.321880802486,μmol/L,31.1390848255041,°C,1000,hPa,Humid,35,0,0,24.543,170995.514967575,315255.651126109,33.95,65,0
684322,2018-04-19 16:43:11,0.62840167,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.262562628785,μmol/L,31.1507911674244,°C,1000,hPa,Humid,35,0,0,24.544,170982.130491104,315266.172529141,33.95,65,0
684328,2018-04-19 16:43:12,0.647969441666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.323484976134,μmol/L,31.1335175564136,°C,1000,hPa,Humid,35,0,0,24.545,170988.909900746,315257.178410463,33.95,65,0
684335,2018-04-19 16:43:13,0.663836988333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.377578108251,μmol/L,31.1256632087157,°C,1000,hPa,Humid,35,0,0,24.543,170979.27253572,315248.816992722,33.95,65,0
684345,2018-04-19 16:43:14,0.677987755,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.377328331733,μmol/L,31.1257233952178,°C,1000,hPa,Humid,35,0,0,24.543,170962.843358779,315234.849508727,33.95,65,0
684361,2018-04-19 16:43:15,0.694421996666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.368722787518,μmol/L,31.1303878524445,°C,1000,hPa,Humid,35,0,0,24.542,170957.142193812,315230.150889594,33.95,65,0
684368,2018-04-19 16:43:16,0.710989613333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.39632505726,μmol/L,31.1237372412079,°C,1000,hPa,Humid,35,0,0,24.542,170964.530645854,315240.20537068,33.95,65,0
684376,2018-04-19 16:43:17,0.727690533333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.352112146514,μmol/L,31.1343902628496,°C,1000,hPa,Humid,35,0,0,24.542,170959.834961381,315239.42140174,33.95,65,0
684388,2018-04-19 16:43:18,0.74447478,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.304247683051,μmol/L,31.135563902897,°C,1000,hPa,Humid,35,0,0,24.546,170954.799013054,315239.716957874,33.95,65,0
684398,2018-04-19 16:43:19,0.761892405,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,130.40145920996,μmol/L,31.1250914369966,°C,1000,hPa,Humid,35,0,0,24.541,170956.314290893,315233.969179738,33.95,65,0
