Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
41350,2018-04-09 12:24:18,0,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,186.200956510358,μmol/L,26.475172553824,°C,1004,hPa,Humid,35,0,0,21.853,92261.6046257454,315678.59658764,30.869056362872,95,0
41351,2018-04-09 12:24:19,0.01871772,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,186.133855002129,μmol/L,26.4845239813394,°C,1004,hPa,Humid,35,0,0,21.854,92251.3172186185,315627.257205102,30.869056362872,95,0
41352,2018-04-09 12:24:20,0.0360353816666667,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,186.176522679582,μmol/L,26.4885702801653,°C,1004,hPa,Humid,35,0,0,21.85,92236.8580461818,315584.089945065,30.869056362872,95,0
41354,2018-04-09 12:24:21,0.0521362533333333,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,186.201990052373,μmol/L,26.4838945575157,°C,1004,hPa,Humid,35,0,0,21.85,92231.9877357033,315569.168251885,30.869056362872,95,0
41357,2018-04-09 12:24:22,0.0703372983333333,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,186.119019689108,μmol/L,26.4902187736775,°C,1004,hPa,Humid,35,0,0,21.853,92230.6678148491,315557.52504109,30.869056362872,95,0
41360,2018-04-09 12:24:23,0.0856714666666667,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,186.145948629119,μmol/L,26.4852732955687,°C,1004,hPa,Humid,35,0,0,21.853,92222.0483564983,315539.847230557,30.869056362872,95,0
41364,2018-04-09 12:24:24,0.102155741666667,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,186.232319974646,μmol/L,26.472385114123,°C,1004,hPa,Humid,35,0,0,21.852,92225.426662938,315510.768461428,30.869056362872,95,0
41369,2018-04-09 12:24:25,0.118673323333333,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,186.101333769397,μmol/L,26.4815866711729,°C,1004,hPa,Humid,35,0,0,21.857,92216.9732895659,315509.268967888,30.869056362872,95,0
41373,2018-04-09 12:24:26,0.135991008333333,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,186.101644526946,μmol/L,26.4785594460373,°C,1004,hPa,Humid,35,0,0,21.858,92221.9863199067,315523.934162806,30.869056362872,95,0
41380,2018-04-09 12:24:27,0.151975245,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,186.055160848823,μmol/L,26.4900689105975,°C,1004,hPa,Humid,35,0,0,21.857,92219.2800301341,315514.578453917,30.869056362872,95,0
41385,2018-04-09 12:24:28,0.169609595,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,186.229525442669,μmol/L,26.46992737351,°C,1004,hPa,Humid,35,0,0,21.853,92225.6061704053,315519.827793224,30.869056362872,95,0
41390,2018-04-09 12:24:29,0.186993845,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,186.147857160886,μmol/L,26.4760117834344,°C,1004,hPa,Humid,35,0,0,21.856,92228.0577896314,315524.060495888,30.869056362872,95,0
