Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
777229,2018-04-21 15:07:38,0,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.210134639962,μmol/L,32.3803030034665,°C,1012,hPa,Humid,35,0,0,25.952,138690.716514608,443235.018984634,38.5,45,0
777232,2018-04-21 15:07:39,0.0148008566666667,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.188400487673,μmol/L,32.383790070824,°C,1012,hPa,Humid,35,0,0,25.953,138644.601474759,443136.908977936,38.5,45,0
777237,2018-04-21 15:07:40,0.0312518033333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.204847038121,μmol/L,32.3866759224161,°C,1012,hPa,Humid,35,0,0,25.95,138627.309933688,443102.889233737,38.5,45,0
777239,2018-04-21 15:07:41,0.0472860283333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.171810637853,μmol/L,32.3907942774285,°C,1012,hPa,Humid,35,0,0,25.952,138609.391596747,443039.238405725,38.5,45,0
777247,2018-04-21 15:07:42,0.0647704283333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.110348137659,μmol/L,32.4026984561401,°C,1012,hPa,Humid,35,0,0,25.954,138589.916570927,443042.707924159,38.5,45,0
777255,2018-04-21 15:07:43,0.08130468,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.109799218543,μmol/L,32.402848761697,°C,1012,hPa,Humid,35,0,0,25.954,138579.661914534,443008.539308377,38.5,45,0
777263,2018-04-21 15:07:44,0.0986389766666667,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.194220073878,μmol/L,32.3821968413226,°C,1012,hPa,Humid,35,0,0,25.953,138567.249271961,442984.946564676,38.5,45,0
777269,2018-04-21 15:07:45,0.114623248333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.141648040404,μmol/L,32.3916660466571,°C,1012,hPa,Humid,35,0,0,25.955,138549.958099991,442984.48044474,38.5,45,0
777273,2018-04-21 15:07:46,0.130640803333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.193443135252,μmol/L,32.3848722648804,°C,1012,hPa,Humid,35,0,0,25.952,138543.031600807,442961.831746591,38.5,45,0
777286,2018-04-21 15:07:47,0.152725408333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.138222216293,μmol/L,32.397527949081,°C,1012,hPa,Humid,35,0,0,25.953,138546.281415547,442976.985557397,38.5,45,0
777295,2018-04-21 15:07:48,0.164042735,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.134084030186,μmol/L,32.3912752535266,°C,1012,hPa,Humid,35,0,0,25.956,138514.682085572,442939.051668846,38.5,45,0
777304,2018-04-21 15:07:49,0.183743886666667,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.162816822596,μmol/L,32.3907942774285,°C,1012,hPa,Humid,35,0,0,25.953,138524.308294501,442953.749950771,38.5,45,0
777312,2018-04-21 15:07:50,0.197344646666667,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.223324504411,μmol/L,32.3717657159395,°C,1012,hPa,Humid,35,0,0,25.954,138503.789739854,442900.056265713,38.5,45,0
777326,2018-04-21 15:07:51,0.214062328333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.199245838938,μmol/L,32.3882090320853,°C,1012,hPa,Humid,35,0,0,25.95,138509.746614,442903.293146433,38.5,45,0
777332,2018-04-21 15:07:52,0.231113243333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.132073694414,μmol/L,32.3992113691083,°C,1012,hPa,Humid,35,0,0,25.953,138496.699928709,442909.804507114,38.5,45,0
777344,2018-04-21 15:07:53,0.247414158333333,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.196533570241,μmol/L,32.3791005672874,°C,1012,hPa,Humid,35,0,0,25.954,138487.624889598,442904.50969089,38.5,45,0
777355,2018-04-21 15:07:54,0.264798511666667,Oxy4 (PSt7-10),2018-04-04 12:25:09,default,111.163705047809,μmol/L,32.3880887881637,°C,1012,hPa,Humid,35,0,0,25.954,138488.228569416,442909.071116307,38.5,45,0
