Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
378176,2018-04-15 13:54:04,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.937416454035,μmol/L,29.2983873756825,°C,996,hPa,Humid,35,0,0,21.939,152107.680279444,315072.223147706,33.95,65,FALSE
378180,2018-04-15 13:54:05,0.0204677783333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.96829903193,μmol/L,29.29534961435,°C,996,hPa,Humid,35,0,0,21.938,152055.666272987,315003.305135262,33.95,65,FALSE
378181,2018-04-15 13:54:06,0.036885395,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.967769741739,μmol/L,29.3011243709225,°C,996,hPa,Humid,35,0,0,21.936,152015.727254762,314946.776638766,33.95,65,FALSE
378185,2018-04-15 13:54:07,0.0533363533333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.942884010755,μmol/L,29.3115309885948,°C,996,hPa,Humid,35,0,0,21.934,151986.341577408,314898.669620929,33.95,65,FALSE
378191,2018-04-15 13:54:08,0.0701706816666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.947370856335,μmol/L,29.3050042910777,°C,996,hPa,Humid,35,0,0,21.936,151976.00099945,314887.778549978,33.95,65,FALSE
378199,2018-04-15 13:54:09,0.088205085,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.967763146447,μmol/L,29.3096361396197,°C,996,hPa,Humid,35,0,0,21.933,151963.608230218,314863.340447241,33.95,65,FALSE
378202,2018-04-15 13:54:10,0.103805928333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.95701672562,μmol/L,29.3031695995919,°C,996,hPa,Humid,35,0,0,21.936,151943.342375125,314836.006936941,33.95,65,FALSE
378208,2018-04-15 13:54:11,0.120156888333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.043261163092,μmol/L,29.2896049444985,°C,996,hPa,Humid,35,0,0,21.935,151930.773594033,314818.849644704,33.95,65,FALSE
378222,2018-04-15 13:54:12,0.137074556666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.946155641371,μmol/L,29.3080721380984,°C,996,hPa,Humid,35,0,0,21.935,151921.068755894,314816.236218967,33.95,65,FALSE
378227,2018-04-15 13:54:13,0.153475515,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.908850609686,μmol/L,29.3066585219653,°C,996,hPa,Humid,35,0,0,21.938,151922.909018967,314819.707747362,33.95,65,FALSE
378237,2018-04-15 13:54:14,0.170576498333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.956965917963,μmol/L,29.3003423720547,°C,996,hPa,Humid,35,0,0,21.937,151903.581171403,314805.817147985,33.95,65,FALSE
378243,2018-04-15 13:54:15,0.186977423333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.951380728452,μmol/L,29.2985678368382,°C,996,hPa,Humid,35,0,0,21.938,151890.913698191,314790.824868986,33.95,65,FALSE
378257,2018-04-15 13:54:16,0.20334503,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.031556779481,μmol/L,29.2918306269385,°C,996,hPa,Humid,35,0,0,21.935,151887.124836684,314773.382800343,33.95,65,FALSE
378270,2018-04-15 13:54:17,0.219945996666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.875632840424,μmol/L,29.3214864825368,°C,996,hPa,Humid,35,0,0,21.935,151876.857901498,314777.368214922,33.95,65,FALSE
378276,2018-04-15 13:54:18,0.237230341666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.981421182375,μmol/L,29.3013649859954,°C,996,hPa,Humid,35,0,0,21.935,151868.55427611,314784.029200379,33.95,65,FALSE
378286,2018-04-15 13:54:19,0.253197931666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.92539169692,μmol/L,29.3091849852599,°C,996,hPa,Humid,35,0,0,21.936,151858.753535638,314754.080698502,33.95,65,FALSE
378293,2018-04-15 13:54:20,0.27049897,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.010626427973,μmol/L,29.301485293538,°C,996,hPa,Humid,35,0,0,21.933,151853.89778541,314755.928317789,33.95,65,FALSE
378309,2018-04-15 13:54:21,0.287066608333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.000504771149,μmol/L,29.2948984619115,°C,996,hPa,Humid,35,0,0,21.936,151845.236210039,314751.297344187,33.95,65,FALSE
378314,2018-04-15 13:54:22,0.304550938333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.95832282572,μmol/L,29.3142679945581,°C,996,hPa,Humid,35,0,0,21.932,151838.87798797,314750.337128245,33.95,65,FALSE
378324,2018-04-15 13:54:23,0.320085158333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.914845951073,μmol/L,29.3140273785602,°C,996,hPa,Humid,35,0,0,21.935,151825.295090286,314744.86500143,33.95,65,FALSE
378337,2018-04-15 13:54:24,0.337419491666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.939611623604,μmol/L,29.3149898426568,°C,996,hPa,Humid,35,0,0,21.933,151823.696818972,314750.278969231,33.95,65,FALSE
378343,2018-04-15 13:54:25,0.353703793333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.071424730698,μmol/L,29.2927630078593,°C,996,hPa,Humid,35,0,0,21.932,151811.214040235,314716.028515327,33.95,65,FALSE
378358,2018-04-15 13:54:26,0.370854775,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.028184153823,μmol/L,29.2981467608233,°C,996,hPa,Humid,35,0,0,21.933,151812.975360786,314726.741394188,33.95,65,FALSE
378367,2018-04-15 13:54:27,0.387339016666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.951107493826,μmol/L,29.3099669861895,°C,996,hPa,Humid,35,0,0,21.934,151797.550860214,314721.510856606,33.95,65,FALSE
378377,2018-04-15 13:54:28,0.403473331666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.899805710637,μmol/L,29.3253965033441,°C,996,hPa,Humid,35,0,0,21.932,151793.190116781,314716.142735686,33.95,65,FALSE
378381,2018-04-15 13:54:29,0.419807551666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.030029618764,μmol/L,29.3034703686194,°C,996,hPa,Humid,35,0,0,21.931,151789.267968301,314712.938922208,33.95,65,FALSE
378393,2018-04-15 13:54:30,0.437325268333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.002401422783,μmol/L,29.3030492919884,°C,996,hPa,Humid,35,0,0,21.933,151778.574561432,314694.978471576,33.95,65,FALSE
378404,2018-04-15 13:54:31,0.453792908333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.976037611194,μmol/L,29.3108993721507,°C,996,hPa,Humid,35,0,0,21.932,151773.143595353,314692.737485819,33.95,65,FALSE
378414,2018-04-15 13:54:32,0.46997712,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.993069387417,μmol/L,29.3048238295755,°C,996,hPa,Humid,35,0,0,21.933,151774.659711461,314690.175472373,33.95,65,FALSE
378428,2018-04-15 13:54:33,0.487761503333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.011152905323,μmol/L,29.3042222913055,°C,996,hPa,Humid,35,0,0,21.932,151756.54084346,314686.955602484,33.95,65,FALSE
378435,2018-04-15 13:54:34,0.503562413333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.992804031714,μmol/L,29.3077112147739,°C,996,hPa,Humid,35,0,0,21.932,151759.817899108,314694.172271144,33.95,65,FALSE
378443,2018-04-15 13:54:35,0.520063381666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.089199624797,μmol/L,29.2922216253573,°C,996,hPa,Humid,35,0,0,21.931,151739.901297662,314678.373406626,33.95,65,FALSE
378455,2018-04-15 13:54:36,0.536997686666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.034775588761,μmol/L,29.3025680616188,°C,996,hPa,Humid,35,0,0,21.931,151739.811036886,314682.908075739,33.95,65,FALSE
378468,2018-04-15 13:54:37,0.55319866,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.960329708325,μmol/L,29.3110497570074,°C,996,hPa,Humid,35,0,0,21.933,151736.803589538,314669.257568519,33.95,65,FALSE
378479,2018-04-15 13:54:38,0.570399653333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.974980021676,μmol/L,29.313937147565,°C,996,hPa,Humid,35,0,0,21.931,151734.427317075,314680.984335823,33.95,65,FALSE
378489,2018-04-15 13:54:39,0.58730065,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.961060498895,μmol/L,29.3165839244261,°C,996,hPa,Humid,35,0,0,21.931,151744.020241985,314676.525789062,33.95,65,FALSE
378491,2018-04-15 13:54:40,0.605218291666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.010148129558,μmol/L,29.3100872940408,°C,996,hPa,Humid,35,0,0,21.93,151740.000977898,314675.692962004,33.95,65,FALSE
378501,2018-04-15 13:54:41,0.621069213333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.020640584237,μmol/L,29.3109294491214,°C,996,hPa,Humid,35,0,0,21.929,151723.991432097,314656.492904634,33.95,65,FALSE
378519,2018-04-15 13:54:42,0.637303515,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.995169235567,μmol/L,29.3157718449397,°C,996,hPa,Humid,35,0,0,21.929,151717.776913118,314651.69695671,33.95,65,FALSE
378529,2018-04-15 13:54:43,0.65373778,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.983363577925,μmol/L,29.3123430670539,°C,996,hPa,Humid,35,0,0,21.931,151713.502589009,314652.103977981,33.95,65,FALSE
378539,2018-04-15 13:54:44,0.670072046666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.950316767779,μmol/L,29.3101173710043,°C,996,hPa,Humid,35,0,0,21.934,151705.29328336,314655.24577339,33.95,65,FALSE
378545,2018-04-15 13:54:45,0.686639685,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.071271142193,μmol/L,29.3013048322255,°C,996,hPa,Humid,35,0,0,21.929,151701.08307171,314660.296005838,33.95,65,FALSE
378552,2018-04-15 13:54:46,0.70345732,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.028234805157,μmol/L,29.3094857548272,°C,996,hPa,Humid,35,0,0,21.929,151685.233382434,314645.506812402,33.95,65,FALSE
378561,2018-04-15 13:54:47,0.719941606666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,171.991322776368,μmol/L,29.3136664545946,°C,996,hPa,Humid,35,0,0,21.93,151683.471750626,314637.135853402,33.95,65,FALSE
