Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
387435,2018-04-15 14:13:50,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.749326753558,μmol/L,29.3785130836527,°C,995,hPa,Humid,35,0,0,21.856,149460.985400992,314251.285728836,33.95,65,FALSE
387436,2018-04-15 14:13:51,0.0204677783333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.720054924272,μmol/L,29.3840473623727,°C,995,hPa,Humid,35,0,0,21.856,149410.992945562,314190.387582796,33.95,65,FALSE
387439,2018-04-15 14:13:52,0.036885395,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.782477604247,μmol/L,29.3750842416357,°C,995,hPa,Humid,35,0,0,21.855,149405.147969889,314162.90509674,33.95,65,FALSE
387444,2018-04-15 14:13:53,0.0533363533333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.749599298478,μmol/L,29.3841375952534,°C,995,hPa,Humid,35,0,0,21.854,149396.157709969,314151.863749249,33.95,65,FALSE
387447,2018-04-15 14:13:54,0.0701706816666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.770368905565,μmol/L,29.3688581953543,°C,995,hPa,Humid,35,0,0,21.858,149384.368138751,314144.119127213,33.95,65,FALSE
387452,2018-04-15 14:13:55,0.088205085,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.712737258042,μmol/L,29.3854309334793,°C,995,hPa,Humid,35,0,0,21.856,149389.107520317,314129.998600926,33.95,65,FALSE
387456,2018-04-15 14:13:56,0.103805928333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.750599484072,μmol/L,29.3782724630455,°C,995,hPa,Humid,35,0,0,21.856,149378.815710899,314116.866813035,33.95,65,FALSE
387464,2018-04-15 14:13:57,0.120156888333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.709547722307,μmol/L,29.3775205237616,°C,995,hPa,Humid,35,0,0,21.859,149374.547552046,314107.367797201,33.95,65,FALSE
387468,2018-04-15 14:13:58,0.137074556666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.592341487429,μmol/L,29.3996877646414,°C,995,hPa,Humid,35,0,0,21.859,149367.955959458,314097.261113767,33.95,65,FALSE
387476,2018-04-15 14:13:59,0.153475515,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.610099872715,μmol/L,29.3934917504048,°C,995,hPa,Humid,35,0,0,21.86,149372.431593854,314100.039883983,33.95,65,FALSE
387480,2018-04-15 14:14:00,0.170576498333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.678319742528,μmol/L,29.3805884371027,°C,995,hPa,Humid,35,0,0,21.86,149368.520789757,314097.592934228,33.95,65,FALSE
387486,2018-04-15 14:14:01,0.186977423333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.575445494149,μmol/L,29.3915366997439,°C,995,hPa,Humid,35,0,0,21.863,149369.294931657,314100.131472242,33.95,65,FALSE
387491,2018-04-15 14:14:02,0.20334503,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.546999334306,μmol/L,29.3884086210578,°C,995,hPa,Humid,35,0,0,21.866,149360.2464582,314087.874830398,33.95,65,FALSE
387501,2018-04-15 14:14:03,0.219945996666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.560985913863,μmol/L,29.3857617875242,°C,995,hPa,Humid,35,0,0,21.866,149366.942263906,314080.691345655,33.95,65,FALSE
387511,2018-04-15 14:14:04,0.237230341666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.57253304858,μmol/L,29.3892507958017,°C,995,hPa,Humid,35,0,0,21.864,149365.280286622,314086.57856033,33.95,65,FALSE
387517,2018-04-15 14:14:05,0.253197931666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.619482668723,μmol/L,29.3832051889349,°C,995,hPa,Humid,35,0,0,21.863,149367.888846439,314077.036501836,33.95,65,FALSE
387531,2018-04-15 14:14:06,0.27049897,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.619057319396,μmol/L,29.3776107564663,°C,995,hPa,Humid,35,0,0,21.865,149363.584512826,314065.231988541,33.95,65,FALSE
387535,2018-04-15 14:14:07,0.287066608333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,172.63850694455,μmol/L,29.3767685846442,°C,995,hPa,Humid,35,0,0,21.864,149370.773048046,314070.996795473,33.95,65,FALSE
