Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
32221,2018-04-09 12:04:51,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.811827252251,μmol/L,26.3160286059169,°C,1005,hPa,Humid,35,0,0,23.06,161475.398492177,319492.211933582,33.95,65,0
32230,2018-04-09 12:04:53,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.838197263463,μmol/L,26.3223090914994,°C,1005,hPa,Humid,35,0,0,23.056,161460.043043012,319462.174261214,33.95,65,0
32242,2018-04-09 12:04:55,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.855318851864,μmol/L,26.3131137433943,°C,1005,hPa,Humid,35,0,0,23.058,161479.408999171,319484.249919287,33.95,65,0
32252,2018-04-09 12:04:55,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.870224373809,μmol/L,26.313023593048,°C,1005,hPa,Humid,35,0,0,23.057,161411.708155003,319409.089835687,33.95,65,0
32257,2018-04-09 12:04:53,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.86435764413,μmol/L,26.3141955477472,°C,1005,hPa,Humid,35,0,0,23.057,161485.07479546,319509.179989182,33.95,65,0
32268,2018-04-09 12:04:56,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.816814696067,μmol/L,26.3208065819176,°C,1005,hPa,Humid,35,0,0,23.058,161400.245488893,319398.514347488,33.95,65,0
32188,2018-04-09 12:04:45,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.815436499752,μmol/L,26.3153074025831,°C,1005,hPa,Humid,35,0,0,23.06,161633.097446126,319756.264394665,33.95,65,0
32193,2018-04-09 12:04:46,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.870990173562,μmol/L,26.3157581546493,°C,1005,hPa,Humid,35,0,0,23.056,161586.816805065,319668.718965714,33.95,65,0
32197,2018-04-09 12:04:47,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.795008177446,μmol/L,26.3251638615561,°C,1005,hPa,Humid,35,0,0,23.058,161575.221963664,319638.077485514,33.95,65,0
32201,2018-04-09 12:04:48,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.762967688214,μmol/L,26.328679739594,°C,1005,hPa,Humid,35,0,0,23.059,161529.901731558,319578.694189168,33.95,65,0
32205,2018-04-09 12:04:49,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.871742352025,μmol/L,26.3156079039541,°C,1005,hPa,Humid,35,0,0,23.056,161501.349950079,319534.118050523,33.95,65,0
32212,2018-04-09 12:04:50,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.790184433056,μmol/L,26.3232406477773,°C,1005,hPa,Humid,35,0,0,23.059,161483.693730889,319509.711543327,33.95,65,0
32217,2018-04-09 12:04:57,0.200511348333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.816098802534,μmol/L,26.3296112976395,°C,1005,hPa,Humid,35,0,0,23.055,161408.517492571,319400.528404024,33.95,65,0
32282,2018-04-09 12:04:58,0.217945678333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.752613659343,μmol/L,26.3365228654066,°C,1005,hPa,Humid,35,0,0,23.057,161406.447890382,319390.057770943,33.95,65,0
32291,2018-04-09 12:05:00,0.251697581666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.881356473761,μmol/L,26.3107998852561,°C,1005,hPa,Humid,35,0,0,23.057,161428.872673786,319442.591688743,33.95,65,0
32303,2018-04-09 12:05:00,0.255547773333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.924731157207,μmol/L,26.3107998852561,°C,1005,hPa,Humid,35,0,0,23.054,161361.645571993,319358.693803637,33.95,65,0
32309,2018-04-09 12:05:02,0.273382131666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.856862721897,μmol/L,26.3214676860503,°C,1005,hPa,Humid,35,0,0,23.055,161369.235634724,319371.869664857,33.95,65,0
32320,2018-04-09 12:05:03,0.30491725,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.859609332313,μmol/L,26.3295812473762,°C,1005,hPa,Humid,35,0,0,23.052,161397.274820079,319418.629107441,33.95,65,0
32329,2018-04-09 12:05:04,0.311767613333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.849203563603,μmol/L,26.3258850670072,°C,1005,hPa,Humid,35,0,0,23.054,161349.400789345,319356.070966786,33.95,65,0
32342,2018-04-09 12:05:04,0.320501425,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.90112183414,μmol/L,26.3184025679857,°C,1005,hPa,Humid,35,0,0,23.053,161325.069924237,319314.924278151,33.95,65,0
32353,2018-04-09 12:05:06,0.350619803333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,170.96656644043,μmol/L,26.3024459691433,°C,1005,hPa,Humid,35,0,0,23.054,161359.814024365,319367.646725548,33.95,65,0
