Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
192144,2018-04-11 12:59:52,0,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.465308410845,μmol/L,27.108068848333,°C,1008,hPa,Humid,35,0,0,21.557,145355.053924996,225221.23816418,30.6166368558801,27,0
192149,2018-04-11 12:59:53,0.0191511233333333,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.229731834554,μmol/L,27.1418912215381,°C,1008,hPa,Humid,35,0,0,21.56,145323.270972942,225197.640704917,30.6166368558801,27,0
192151,2018-04-11 12:59:54,0.032518525,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.261398083518,μmol/L,27.1361438013441,°C,1008,hPa,Humid,35,0,0,21.56,145304.393403215,225173.710098411,30.6166368558801,27,0
192158,2018-04-11 12:59:55,0.0493361133333333,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.376151413607,μmol/L,27.115320769758,°C,1008,hPa,Humid,35,0,0,21.56,145295.08149356,225174.916122014,30.6166368558801,27,0
192167,2018-04-11 12:59:56,0.0659370583333333,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.349813788853,μmol/L,27.1171262298099,°C,1008,hPa,Humid,35,0,0,21.561,145281.835193093,225170.476438495,30.6166368558801,27,0
192173,2018-04-11 12:59:57,0.08220462,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.26574465708,μmol/L,27.1323824060214,°C,1008,hPa,Humid,35,0,0,21.561,145273.51333328,225151.808180035,30.6166368558801,27,0
192183,2018-04-11 12:59:58,0.0989555733333333,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.206673466548,μmol/L,27.1341878752501,°C,1008,hPa,Humid,35,0,0,21.564,145273.558847029,225159.330868699,30.6166368558801,27,0
192184,2018-04-11 12:59:59,0.115273146666667,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.192991766312,μmol/L,27.1307273934144,°C,1008,hPa,Humid,35,0,0,21.566,145259.969352307,225148.222899229,30.6166368558801,27,0
192200,2018-04-11 13:00:00,0.133174163333333,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.335682631336,μmol/L,27.1077980299947,°C,1008,hPa,Humid,35,0,0,21.565,145258.638875903,225154.21705267,30.6166368558801,27,0
192202,2018-04-11 13:00:01,0.149008391666667,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.377769299106,μmol/L,27.1031339398078,°C,1008,hPa,Humid,35,0,0,21.564,145267.268705426,225149.822708032,30.6166368558801,27,0
192213,2018-04-11 13:00:02,0.165576018333333,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.238534495888,μmol/L,27.1254313585564,°C,1008,hPa,Humid,35,0,0,21.565,145255.996953836,225159.732109174,30.6166368558801,27,0
192224,2018-04-11 13:00:03,0.182743683333333,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.178445750184,μmol/L,27.1303963909913,°C,1008,hPa,Humid,35,0,0,21.567,145265.459788915,225152.413346921,30.6166368558801,27,0
192236,2018-04-11 13:00:04,0.198644535,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.141327664397,μmol/L,27.1371368104128,°C,1008,hPa,Humid,35,0,0,21.567,145266.662953266,225154.170534294,30.6166368558801,27,0
192247,2018-04-11 13:00:05,0.215428875,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.185277446986,μmol/L,27.1261836357262,°C,1008,hPa,Humid,35,0,0,21.568,145254.545980626,225141.993962287,30.6166368558801,27,0
192253,2018-04-11 13:00:06,0.23237979,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.220978869094,μmol/L,27.1137560384987,°C,1008,hPa,Humid,35,0,0,21.57,145263.866119102,225149.460314617,30.6166368558801,27,0
192267,2018-04-11 13:00:07,0.249164085,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.199270544993,μmol/L,27.1176979590286,°C,1008,hPa,Humid,35,0,0,21.57,145255.924755848,225142.104905783,30.6166368558801,27,0
192273,2018-04-11 13:00:08,0.265731723333333,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.116008787903,μmol/L,27.1268757308712,°C,1008,hPa,Humid,35,0,0,21.572,145249.503296831,225141.304470377,30.6166368558801,27,0
192284,2018-04-11 13:00:09,0.2825993,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.200394153775,μmol/L,27.1204663334656,°C,1008,hPa,Humid,35,0,0,21.569,145256.589211248,225141.004426745,30.6166368558801,27,0
192299,2018-04-11 13:00:10,0.299616931666667,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.112900375755,μmol/L,27.1244684440258,°C,1008,hPa,Humid,35,0,0,21.573,145253.218962832,225140.911142124,30.6166368558801,27,0
192308,2018-04-11 13:00:11,0.315717826666667,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.083748107602,μmol/L,27.1297644773645,°C,1008,hPa,Humid,35,0,0,21.573,145253.144466312,225145.716056187,30.6166368558801,27,0
192313,2018-04-11 13:00:12,0.332868841666667,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.158968328429,μmol/L,27.1279891016211,°C,1008,hPa,Humid,35,0,0,21.569,145252.24354447,225143.330438709,30.6166368558801,27,0
192324,2018-04-11 13:00:13,0.349486388333333,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.068510444094,μmol/L,27.1325328617536,°C,1008,hPa,Humid,35,0,0,21.573,145246.249943438,225132.698528125,30.6166368558801,27,0
192336,2018-04-11 13:00:14,0.36730411,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.094143326286,μmol/L,27.13084775794,°C,1008,hPa,Humid,35,0,0,21.572,145253.766031572,225147.456143891,30.6166368558801,27,0
192346,2018-04-11 13:00:15,0.38280498,Oxy5 (PSt7-10),2018-04-04 12:42:02,default,187.118150550661,μmol/L,27.1145985860089,°C,1008,hPa,Humid,35,0,0,21.576,145256.768883734,225145.283758364,30.6166368558801,27,0
