Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
795508,2018-04-21 16:13:04,0,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,120.512993407073,μmol/L,32.1390498641681,°C,1011,hPa,Humid,35,0,0,25.031,128631.735149727,237931.117721098,34.3,54,0
795526,2018-04-21 16:13:05,0.0216512816666667,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,120.441410152526,μmol/L,32.1623156844789,°C,1011,hPa,Humid,35,0,0,25.029,128608.629974692,237898.105244943,34.3,54,0
795537,2018-04-21 16:13:06,0.0387022433333333,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,120.453475884042,μmol/L,32.1642670186848,°C,1011,hPa,Humid,35,0,0,25.027,128581.099803875,237864.724381722,34.3,54,0
795539,2018-04-21 16:13:07,0.054936465,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,120.44506272557,μmol/L,32.161385048566,°C,1011,hPa,Humid,35,0,0,25.029,128566.45907223,237840.705061478,34.3,54,0
795549,2018-04-21 16:13:08,0.071870825,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,120.423419616073,μmol/L,32.1643871008268,°C,1011,hPa,Humid,35,0,0,25.03,128569.575068885,237838.550917241,34.3,54,0
795563,2018-04-21 16:13:09,0.0883050783333333,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,120.415245077745,μmol/L,32.1614450895845,°C,1011,hPa,Humid,35,0,0,25.032,128564.851138042,237827.929658806,34.3,54,0
795575,2018-04-21 16:13:10,0.104806001666667,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,120.409318946432,μmol/L,32.1654678402983,°C,1011,hPa,Humid,35,0,0,25.031,128560.662140733,237820.288631145,34.3,54,0
795585,2018-04-21 16:13:11,0.122773723333333,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,120.418731023531,μmol/L,32.1555310543913,°C,1011,hPa,Humid,35,0,0,25.034,128562.13769765,237805.754186774,34.3,54,0
795588,2018-04-21 16:13:12,0.139341326666667,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,120.373386680119,μmol/L,32.1670889501602,°C,1011,hPa,Humid,35,0,0,25.034,128556.708858622,237795.182926773,34.3,54,0
795603,2018-04-21 16:13:13,0.15500891,Oxy10 (PSt7-10),2018-04-04 12:34:31,default,120.335190231781,μmol/L,32.171802181434,°C,1011,hPa,Humid,35,0,0,25.036,128553.942713662,237795.695946295,34.3,54,0
