Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
461183,2018-04-15 18:21:37,0,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,160.79615723616,μmol/L,29.4486805745119,°C,993,hPa,Humid,35,0,0,22.519,96325.4051798324,314024.993011267,30.869056362872,95,0
461184,2018-04-15 18:21:38,0,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,160.956258407603,μmol/L,29.4245614236061,°C,993,hPa,Humid,35,0,0,22.516,96308.2617324065,313980.916698237,30.869056362872,95,0
461185,2018-04-15 18:21:36,0,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,160.803715233794,μmol/L,29.4303512039623,°C,993,hPa,Humid,35,0,0,22.525,96348.7864496964,314059.046776875,30.869056362872,95,0
461186,2018-04-15 18:21:35,0,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,160.912086266344,μmol/L,29.4167317365318,°C,993,hPa,Humid,35,0,0,22.522,96361.7952486793,314113.116778001,30.869056362872,95,0
461190,2018-04-15 18:21:39,0,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,160.908937136222,μmol/L,29.4229714856715,°C,993,hPa,Humid,35,0,0,22.52,96297.8740086492,313978.895824924,30.869056362872,95,0
461193,2018-04-15 18:21:41,0,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,160.952564902225,μmol/L,29.4253113945911,°C,993,hPa,Humid,35,0,0,22.516,96301.001669519,313995.361408772,30.869056362872,95,0
461198,2018-04-15 18:21:42,0,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,160.890918924759,μmol/L,29.426631343933,°C,993,hPa,Humid,35,0,0,22.52,96294.9738447963,313983.901177724,30.869056362872,95,0
461208,2018-04-15 18:21:43,0,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,160.89199586808,μmol/L,29.4376109426762,°C,993,hPa,Humid,35,0,0,22.516,96286.1889615271,313972.372752818,30.869056362872,95,0
461210,2018-04-15 18:21:44,0.117723501666667,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,160.934045721144,μmol/L,29.417871689835,°C,993,hPa,Humid,35,0,0,22.52,96279.2143182391,313952.354389106,30.869056362872,95,0
461212,2018-04-15 18:21:46,0.144258425,Oxy1 (PSt7-10),2018-04-04 12:40:02,default,160.751146228329,μmol/L,29.4494305508902,°C,993,hPa,Humid,35,0,0,22.522,96279.0169792141,313983.763128394,30.869056362872,95,0
