Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
470385,2018-04-15 18:40:56,0,Oxy7 (PSt7-10),2018-04-04 12:28:58,default,161.434089118218,μmol/L,29.5279340383099,°C,993,hPa,Humid,35,0,0,22.519,167106.816140122,355623.691612101,45.5,94,0
470398,2018-04-15 18:40:57,0.0208011933333333,Oxy7 (PSt7-10),2018-04-04 12:28:58,default,161.3738316129,μmol/L,29.5456676763215,°C,993,hPa,Humid,35,0,0,22.517,167074.278711556,355558.48564229,45.5,94,0
470401,2018-04-15 18:40:58,0.0423024233333333,Oxy7 (PSt7-10),2018-04-04 12:28:58,default,161.423509587775,μmol/L,29.530068081312,°C,993,hPa,Humid,35,0,0,22.519,167054.734460566,355550.416149986,45.5,94,0
470415,2018-04-15 18:41:00,0.0626368966666667,Oxy7 (PSt7-10),2018-04-04 12:28:58,default,161.441363562183,μmol/L,29.5292565436721,°C,993,hPa,Humid,35,0,0,22.518,167054.806184135,355527.319062544,45.5,94,0
470420,2018-04-15 18:41:00,0.0757876833333333,Oxy7 (PSt7-10),2018-04-04 12:28:58,default,161.428805426096,μmol/L,29.5206302112697,°C,993,hPa,Humid,35,0,0,22.522,167006.269622345,355492.46273506,45.5,94,0
470430,2018-04-15 18:41:01,0.0885217616666667,Oxy7 (PSt7-10),2018-04-04 12:28:58,default,161.367875384364,μmol/L,29.5329234930859,°C,993,hPa,Humid,35,0,0,22.522,166992.931129228,355459.014624951,45.5,94,0
470440,2018-04-15 18:41:02,0.104756005,Oxy7 (PSt7-10),2018-04-04 12:28:58,default,161.303475957295,μmol/L,29.5375522710196,°C,993,hPa,Humid,35,0,0,22.525,166994.064696788,355458.62706977,45.5,94,0
470445,2018-04-15 18:41:03,0.126457301666667,Oxy7 (PSt7-10),2018-04-04 12:28:58,default,161.386673372943,μmol/L,29.5263410211796,°C,993,hPa,Humid,35,0,0,22.523,167002.662145451,355479.686635323,45.5,94,0
470464,2018-04-15 18:41:04,0.137824625,Oxy7 (PSt7-10),2018-04-04 12:28:58,default,161.304667297872,μmol/L,29.5373118148664,°C,993,hPa,Humid,35,0,0,22.525,166972.994159141,355431.880095598,45.5,94,0
470467,2018-04-15 18:41:05,0.15354216,Oxy7 (PSt7-10),2018-04-04 12:28:58,default,161.329506811957,μmol/L,29.5350875962599,°C,993,hPa,Humid,35,0,0,22.524,166987.790774191,355439.538233742,45.5,94,0
