Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
442845,2018-04-15 17:16:54,0,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.713552955327,μmol/L,29.1355852912279,°C,991,hPa,Humid,35,0,0,25.743,181918.273383238,315643.599766677,33.95,65,0
442850,2018-04-15 17:16:55,0.0225346016666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.67042205066,μmol/L,29.1468034337622,°C,991,hPa,Humid,35,0,0,25.743,181877.965377326,315568.73386713,33.95,65,0
442854,2018-04-15 17:16:56,0.03978563,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.765490523889,μmol/L,29.1247280898065,°C,991,hPa,Humid,35,0,0,25.742,181842.35552549,315528.080195264,33.95,65,0
442857,2018-04-15 17:16:57,0.0557532066666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.760979621505,μmol/L,29.1259010267709,°C,991,hPa,Humid,35,0,0,25.742,181812.178045935,315482.246273797,33.95,65,0
442864,2018-04-15 17:16:58,0.07290419,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.697248085381,μmol/L,29.1398259251478,°C,991,hPa,Humid,35,0,0,25.743,181802.826473915,315483.325688305,33.95,65,0
442870,2018-04-15 17:16:59,0.0904552466666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.730733149925,μmol/L,29.1178709280648,°C,991,hPa,Humid,35,0,0,25.748,181786.9639623,315452.092316807,33.95,65,0
442876,2018-04-15 17:17:00,0.10687283,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.738501780601,μmol/L,29.1211491308331,°C,991,hPa,Humid,35,0,0,25.746,181772.785373527,315436.601028936,33.95,65,0
442883,2018-04-15 17:17:01,0.122657116666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.675472084194,μmol/L,29.1322469236147,°C,991,hPa,Humid,35,0,0,25.748,181758.646109199,315428.930646419,33.95,65,0
442896,2018-04-15 17:17:02,0.140574826666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.734675242594,μmol/L,29.1194949914216,°C,991,hPa,Humid,35,0,0,25.747,181765.763436722,315424.722002275,33.95,65,0
442906,2018-04-15 17:17:03,0.157925783333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.648631501718,μmol/L,29.1312845119464,°C,991,hPa,Humid,35,0,0,25.751,181762.677685411,315410.65123347,33.95,65,0
442913,2018-04-15 17:17:04,0.172376633333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.671640287508,μmol/L,29.1279461486133,°C,991,hPa,Humid,35,0,0,25.75,181735.896673928,315386.73805083,33.95,65,0
442918,2018-04-15 17:17:05,0.188860908333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.669468911201,μmol/L,29.1364574779082,°C,991,hPa,Humid,35,0,0,25.747,181740.492861515,315381.844217002,33.95,65,0
442934,2018-04-15 17:17:06,0.206928606666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.692803008546,μmol/L,29.1250889934431,°C,991,hPa,Humid,35,0,0,25.749,181742.709966678,315393.902055738,33.95,65,0
442940,2018-04-15 17:17:07,0.223762945,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.604948195173,μmol/L,29.1426530174072,°C,991,hPa,Humid,35,0,0,25.751,181732.993130902,315364.788345185,33.95,65,0
442952,2018-04-15 17:17:08,0.241563941666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.618923936536,μmol/L,29.1363672516891,°C,991,hPa,Humid,35,0,0,25.752,181743.624140628,315380.13729547,33.95,65,0
442964,2018-04-15 17:17:09,0.258098286666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.571313560223,μmol/L,29.146111697346,°C,991,hPa,Humid,35,0,0,25.753,181727.997656641,315367.631726962,33.95,65,0
442975,2018-04-15 17:17:10,0.273049105,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.705866036786,μmol/L,29.1216904857265,°C,991,hPa,Humid,35,0,0,25.749,181722.072396015,315363.512218989,33.95,65,0
442980,2018-04-15 17:17:11,0.289883433333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.716942178747,μmol/L,29.1135100210918,°C,991,hPa,Humid,35,0,0,25.751,181713.3348731,315335.940670879,33.95,65,0
442996,2018-04-15 17:17:12,0.305551038333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.683092791015,μmol/L,29.1276153199951,°C,991,hPa,Humid,35,0,0,25.749,181718.158829601,315337.147010436,33.95,65,0
443007,2018-04-15 17:17:13,0.323135331666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.669212984376,μmol/L,29.1285777306107,°C,991,hPa,Humid,35,0,0,25.75,181709.418967889,315341.762868038,33.95,65,0
443011,2018-04-15 17:17:14,0.339569643333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.667345583968,μmol/L,29.123765680295,°C,991,hPa,Humid,35,0,0,25.752,181697.571799653,315330.491557415,33.95,65,0
443018,2018-04-15 17:17:15,0.356253916666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.663202600184,μmol/L,29.1301416484494,°C,991,hPa,Humid,35,0,0,25.75,181693.96580132,315319.738833245,33.95,65,0
443033,2018-04-15 17:17:16,0.373054891666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.624100528095,μmol/L,29.1270739641459,°C,991,hPa,Humid,35,0,0,25.755,181706.715259041,315327.96681201,33.95,65,0
443041,2018-04-15 17:17:17,0.391739296666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.652881158136,μmol/L,29.1222318407076,°C,991,hPa,Humid,35,0,0,25.754,181700.539115605,315328.498247338,33.95,65,0
443051,2018-04-15 17:17:18,0.40595682,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.608817982291,μmol/L,29.1351040848804,°C,992,hPa,Humid,35,0,0,25.754,181684.581719128,315305.369432527,33.95,65,0
443058,2018-04-15 17:17:19,0.422824478333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.692487684042,μmol/L,29.1159761884765,°C,992,hPa,Humid,35,0,0,25.753,181683.785527286,315309.028947322,33.95,65,0
443075,2018-04-15 17:17:20,0.439392046666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.615688388252,μmol/L,29.1372093631599,°C,991,hPa,Humid,35,0,0,25.752,181672.465157343,315309.598960762,33.95,65,0
443086,2018-04-15 17:17:21,0.456109718333333,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.640623360353,μmol/L,29.1227731957761,°C,991,hPa,Humid,35,0,0,25.755,181686.323015408,315305.421699931,33.95,65,0
443092,2018-04-15 17:17:22,0.47247736,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.642305103796,μmol/L,29.1210889802946,°C,992,hPa,Humid,35,0,0,25.756,181690.971552913,315313.16292132,33.95,65,0
443104,2018-04-15 17:17:23,0.489461661666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.61711934364,μmol/L,29.1276453953233,°C,992,hPa,Humid,35,0,0,25.756,181689.320660461,315294.199289986,33.95,65,0
443113,2018-04-15 17:17:24,0.506045925,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.596910697574,μmol/L,29.1355552158288,°C,992,hPa,Humid,35,0,0,25.755,181683.762731085,315300.049833403,33.95,65,0
443126,2018-04-15 17:17:25,0.524647025,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.636653624712,μmol/L,29.1252092946647,°C,992,hPa,Humid,35,0,0,25.755,181688.801394763,315295.885929071,33.95,65,0
443133,2018-04-15 17:17:26,0.538897865,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.556510883884,μmol/L,29.1420214327591,°C,991,hPa,Humid,35,0,0,25.756,181667.765151728,315269.976755218,33.95,65,0
443138,2018-04-15 17:17:27,0.555615501666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.566176342965,μmol/L,29.1409086410508,°C,992,hPa,Humid,35,0,0,25.756,181675.735203369,315287.014899376,33.95,65,0
443151,2018-04-15 17:17:28,0.572816425,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.611391248842,μmol/L,29.1303822512587,°C,991,hPa,Humid,35,0,0,25.755,181669.644036254,315277.890021848,33.95,65,0
443161,2018-04-15 17:17:29,0.58941744,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.587553355639,μmol/L,29.1379913239998,°C,992,hPa,Humid,35,0,0,25.755,181678.161539088,315272.893601883,33.95,65,0
443171,2018-04-15 17:17:30,0.606151735,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.5511974281,μmol/L,29.1434049040467,°C,991,hPa,Humid,35,0,0,25.756,181669.827524211,315269.17383861,33.95,65,0
443180,2018-04-15 17:17:31,0.62226938,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.567022549794,μmol/L,29.1392845673286,°C,991,hPa,Humid,35,0,0,25.756,181659.687447937,315256.600160166,33.95,65,0
443189,2018-04-15 17:17:32,0.639070321666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.570436005047,μmol/L,29.1345025770433,°C,992,hPa,Humid,35,0,0,25.758,181652.305089075,315266.990917393,33.95,65,0
443204,2018-04-15 17:17:33,0.65672133,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.565707637764,μmol/L,29.138382304488,°C,992,hPa,Humid,35,0,0,25.757,181652.148881003,315257.832493619,33.95,65,0
443211,2018-04-15 17:17:36,0.708790986666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.595054581359,μmol/L,29.1333897878289,°C,992,hPa,Humid,35,0,0,25.756,181737.424082421,315352.599625291,33.95,65,0
443218,2018-04-15 17:17:36,0.708807656666667,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.554368164243,μmol/L,29.1333897878289,°C,992,hPa,Humid,35,0,0,25.76,181653.669960477,315255.709068445,33.95,65,0
443233,2018-04-15 17:17:36,0.708824315,Oxy3 (PSt7-10),2018-04-04 12:21:14,default,125.535423193876,μmol/L,29.1356755174256,°C,992,hPa,Humid,35,0,0,25.761,181616.143746637,315210.559870882,33.95,65,0
