"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type","species"
"1",292.4828224,1.00536831842052,1.13304908751883,1.07310569344092,"ML2","deep","GP","DLAB"
"2",292.552991261727,1.0072500187999,1.13392319344689,1.07466243514227,"ML2","deep","GP","DLAB"
"3",292.623160123454,1.00913070210889,1.13479665126086,1.07621814063421,"ML2","deep","GP","DLAB"
"4",292.693328985181,1.01101036361477,1.1356694517336,1.07777279844508,"ML2","deep","GP","DLAB"
"5",292.763497846908,1.01288899833139,1.13654158524034,1.07932639660534,"ML2","deep","GP","DLAB"
"6",292.833666708634,1.01476660100739,1.13741304174223,1.08087892262723,"ML2","deep","GP","DLAB"
"7",292.903835570361,1.01664316611389,1.13828381076927,1.08243036348371,"ML2","deep","GP","DLAB"
"8",292.974004432088,1.01851868783168,1.13915388140256,1.08398070558638,"ML2","deep","GP","DLAB"
"9",293.044173293815,1.02039316003768,1.14002324225572,1.08552993476268,"ML2","deep","GP","DLAB"
"10",293.114342155542,1.02226657629096,1.1408918814557,1.08707803623205,"ML2","deep","GP","DLAB"
"11",293.184511017269,1.02413892981794,1.14175978662268,1.08862499458121,"ML2","deep","GP","DLAB"
"12",293.254679878996,1.02601021349703,1.14262694484918,1.09017079373841,"ML2","deep","GP","DLAB"
"13",293.324848740723,1.02788041984254,1.14349334267839,1.09171541694665,"ML2","deep","GP","DLAB"
"14",293.39501760245,1.02974954098781,1.14435896608151,1.09325884673586,"ML2","deep","GP","DLAB"
"15",293.465186464177,1.03161756866759,1.14522380043421,1.09480106489388,"ML2","deep","GP","DLAB"
"16",293.535355325904,1.03348449419966,1.14608783049216,1.09634205243641,"ML2","deep","GP","DLAB"
"17",293.605524187631,1.03535030846553,1.14695104036553,1.09788178957565,"ML2","deep","GP","DLAB"
"18",293.675693049357,1.0372150018903,1.14781341349242,1.09942025568772,"ML2","deep","GP","DLAB"
"19",293.745861911084,1.03907856442159,1.1486749326113,1.10095742927877,"ML2","deep","GP","DLAB"
"20",293.816030772811,1.04094098550754,1.14953557973219,1.10249328794979,"ML2","deep","GP","DLAB"
"21",293.886199634538,1.04280225407371,1.15039533610683,1.10402780835995,"ML2","deep","GP","DLAB"
"22",293.956368496265,1.04466235849905,1.15125418219748,1.10556096618848,"ML2","deep","GP","DLAB"
"23",294.026537357992,1.04652128659066,1.15211209764458,1.1070927360951,"ML2","deep","GP","DLAB"
"24",294.096706219719,1.04837902555751,1.15296906123297,1.10862309167881,"ML2","deep","GP","DLAB"
"25",294.166875081446,1.05023556198282,1.15382505085689,1.11015200543508,"ML2","deep","GP","DLAB"
"26",294.237043943173,1.05209088179532,1.15468004348337,1.11167944871129,"ML2","deep","GP","DLAB"
"27",294.3072128049,1.05394497023915,1.15553401511432,1.11320539166046,"ML2","deep","GP","DLAB"
"28",294.377381666626,1.05579781184233,1.15638694074694,1.11472980319313,"ML2","deep","GP","DLAB"
"29",294.447550528353,1.05764939038389,1.1572387943326,1.1162526509273,"ML2","deep","GP","DLAB"
"30",294.51771939008,1.05949968885944,1.15810230130685,1.1177739011364,"ML2","deep","GP","DLAB"
"31",294.587888251807,1.06134868944523,1.15916347145537,1.11929351869527,"ML2","deep","GP","DLAB"
"32",294.658057113534,1.06319637346051,1.1602221942751,1.12081146702388,"ML2","deep","GP","DLAB"
"33",294.728225975261,1.06504272132822,1.16127840425739,1.12232770802893,"ML2","deep","GP","DLAB"
"34",294.798394836988,1.06688771253392,1.16233203362417,1.12384220204313,"ML2","deep","GP","DLAB"
"35",294.868563698715,1.06873132558284,1.16338301225007,1.125354907762,"ML2","deep","GP","DLAB"
"36",294.938732560442,1.0705735379549,1.16443126758176,1.12686578217834,"ML2","deep","GP","DLAB"
"37",295.008901422169,1.07241432605787,1.16547672455465,1.12837478051397,"ML2","deep","GP","DLAB"
"38",295.079070283896,1.07425366517826,1.16701103239454,1.12988185614887,"ML2","deep","GP","DLAB"
"39",295.149239145622,1.07609152943001,1.16877002801592,1.1313869605475,"ML2","deep","GP","DLAB"
"40",295.219408007349,1.07792789170096,1.17052257628479,1.13289004318228,"ML2","deep","GP","DLAB"
"41",295.289576869076,1.07976272359678,1.1722685080762,1.13439105145403,"ML2","deep","GP","DLAB"
"42",295.359745730803,1.08159599538243,1.17400764918374,1.13588993060929,"ML2","deep","GP","DLAB"
"43",295.42991459253,1.08342767592102,1.17573982017366,1.13738662365445,"ML2","deep","GP","DLAB"
"44",295.500083454257,1.08512757148241,1.17746483623526,1.13888107126646,"ML2","deep","GP","DLAB"
"45",295.570252315984,1.08681967870364,1.17918250702729,1.14037321170017,"ML2","deep","GP","DLAB"
"46",295.640421177711,1.08851037232964,1.1808926365203,1.14186298069193,"ML2","deep","GP","DLAB"
"47",295.710590039438,1.09019962381836,1.18259502283495,1.14335031135953,"ML2","deep","GP","DLAB"
"48",295.780758901165,1.09188740323644,1.18428945807602,1.14483513409819,"ML2","deep","GP","DLAB"
"49",295.850927762892,1.0935736791934,1.18597572816228,1.14631737647261,"ML2","deep","GP","DLAB"
"50",295.921096624618,1.09525841877266,1.18765361265187,1.14779696310471,"ML2","deep","GP","DLAB"
"51",295.991265486345,1.0969415874594,1.1893228845633,1.1492738155571,"ML2","deep","GP","DLAB"
"52",296.061434348072,1.09862314906499,1.1909833101919,1.15074785221207,"ML2","deep","GP","DLAB"
"53",296.131603209799,1.10030306564788,1.19278734687795,1.15221898814582,"ML2","deep","GP","DLAB"
"54",296.201772071526,1.10198129743084,1.19464150691454,1.15368713499794,"ML2","deep","GP","DLAB"
"55",296.271940933253,1.10365780271427,1.19648577820825,1.15515220083581,"ML2","deep","GP","DLAB"
"56",296.34210979498,1.10533253778548,1.19831989137981,1.15661409001379,"ML2","deep","GP","DLAB"
"57",296.412278656707,1.10700545682374,1.20014356910311,1.15807270302703,"ML2","deep","GP","DLAB"
"58",296.482447518434,1.10867651180088,1.20195652588523,1.1595279363597,"ML2","deep","GP","DLAB"
