"","fragment.ID.full","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID","genotype","log.rate","K","fitted","residuals"
"1","K201a_2706","K201a",27,"T1",26.44653272,0.944549357,"GP","light","K201a","K2",0.6650302571663,299.59653272,0.666049427082405,-0.00101916991610429
"2","K201a_2801","K201a",28,"T1",27.12077611,1.080211322,"GP","light","K201a","K2",0.732469485667974,300.27077611,0.681093845272379,0.0513756403955951
"3","K201a_2903","K201a",29,"T1",28.4809316,1.249661946,"GP","light","K201a","K2",0.810779958706012,301.6309316,0.711214071466987,0.0995658872390252
"4","K201a_3004","K201a",30,"T1",29.30243299,0.917723233,"GP","light","K201a","K2",0.651138666257581,302.45243299,0.729164174961367,-0.0780255087037863
"5","K201a_3106","K201a",31,"T1",30.02551912,0.912495023,"GP","light","K201a","K2",0.648408684362227,303.17551912,0.744465760574704,-0.0960570762124772
"6","K201a_3202","K201a",32,"T1",31.44757175,1.398171404,"GP","light","K201a","K2",0.874706531949148,304.59757175,0.763755027605741,0.110951504343407
"7","K201a_3303","K201a",33,"T1",32.56415912,1.084311166,"GP","light","K201a","K2",0.7344384246454,305.71415912,0.688500229750109,0.0459381948952913
"8","K201a_3405","K201a",34,"T1",32.92701723,0.48103359,"GP","light","K201a","K2",0.392740215649662,306.07701723,0.588856171076666,-0.196115955427004
"9","K201b_2703","K201b",27,"T1",26.41847657,0.921891137,"GP","light","K201b","K2",0.6533096684653,299.56847657,0.665421911765956,-0.0121122433006561
"10","K201b_2805","K201b",28,"T1",27.37569924,0.901125638,"GP","light","K201b","K2",0.642446151801108,300.52569924,0.686763663176477,-0.0443175113753692
"11","K201b_2906","K201b",29,"T1",28.17806804,0.821747015,"GP","light","K201b","K2",0.599795939032536,301.32806804,0.704538115585877,-0.104742176553341
"12","K201b_3002","K201b",30,"T1",29.38777591,1.10422596,"GP","light","K201b","K2",0.743947684546249,302.53777591,0.731006722710614,0.012940961835635
"13","K201b_3104","K201b",31,"T1",30.18058176,1.239327476,"GP","light","K201b","K2",0.806175586859148,303.33058176,0.747595598537444,0.0585799883217037
"14","K201b_3205","K201b",32,"T1",31.1978655,1.00739541,"GP","light","K201b","K2",0.696838065855146,304.3478655,0.763221340555173,-0.0663832747000268
"15","K201b_3301","K201b",33,"T1",32.5590045,1.202593091,"GP","light","K201b","K2",0.789635343996307,305.7090045,0.689480124342973,0.100155219653334
"16","K201b_3402","K201b",34,"T1",33.2056714,0.740444309,"GP","light","K201b","K2",0.554140430630175,306.3556714,0.457407721619295,0.0967327090108802
"17","K201c_2701","K201c",27,"T1",26.43534989,0.990289955,"GP","light","K201c","K2",0.688280334152459,299.58534989,0.665799321590645,0.022481012561814
