"","term","estimate","std.error","statistic","p.value","genotype","treatment","rate.type","temp.Cat"
"1","lnc",1.6247867214796,61.5792044571341,0.0263853152343115,0.979137163520649,"M6","T3","R",27
"2","E",0.0437608052827253,0.957244933395241,0.0457153689260184,0.963861607033623,"M6","T3","R",27
"3","Eh",2.54617644891646e-06,1.91714351185987,1.32810946763518e-06,0.999998949739268,"M6","T3","R",27
"4","Th",317.165708567856,420999027.702119,7.53364468082023e-07,0.99999940424405,"M6","T3","R",27
"5","lnc",1.62244485196563,70.7583938725163,0.022929362343763,0.981869247908946,"M5","T3","R",27
"6","E",0.0275192496020788,0.832224158142103,0.0330671121870748,0.973855667438161,"M5","T3","R",27
"7","Eh",2.3096611954432e-06,1.66784914798926,1.38481420710482e-06,0.999998904897512,"M5","T3","R",27
"8","Th",300.070696689984,475575129.562504,6.30963812102681e-07,0.99999950103773,"M5","T3","R",27
"9","lnc",1.49574704439588,51347.72936683,2.91297602219217e-05,0.999976964366248,"K2","T3","R",27
"10","E",0,1364.50335365797,0,1,"K2","T3","R",27
"11","Eh",0.0526614782909327,437.885224475871,0.000120263199914923,0.999904896607472,"K2","T3","R",27
"12","Th",351.35982237388,23837461.0631339,1.47398173590424e-05,0.999988343843832,"K2","T3","R",27
"13","lnc",1.64196357137553,0.248981318455932,6.5947259881112,3.75196755365805e-07,"M6","C","R",27
"14","E",0.0172343345600876,0.0142869385817426,1.20630003842191,0.237795861366214,"M6","C","R",27
"15","Eh",6.82081625293494e-09,0.0108980240385297,6.25876418405772e-07,0.999999505060809,"M6","C","R",27
"16","Th",334.841279373889,744791149.788834,4.49577414378279e-07,0.999999644476968,"M6","C","R",27
"17","lnc",1.59066508737017,0.741279825022253,2.14583620608104,0.0443406136320074,"M5","C","R",27
"18","E",0.036786560019357,0.0380051861151883,0.967935268304229,0.344636953069758,"M5","C","R",27
"19","Eh",2.51628241331546e-08,0.0479643698845261,5.24614921320429e-07,0.999999586615418,"M5","C","R",27
"20","Th",310.199295024002,503353655.565507,6.16265108227931e-07,0.999999514397163,"M5","C","R",27
"21","lnc",0.991414658908497,265.646040017018,0.00373208898143177,0.997048694271303,"K2","C","R",27
"22","E",0,35.8856308986257,0,1,"K2","C","R",27
"23","Eh",0.258353851930635,559.351729277277,0.000461880849576432,0.999634747501635,"K2","C","R",27
"24","Th",422.856194559731,71164.843810024,0.00594192542161061,0.995301190858497,"K2","C","R",27
"25","lnc",1.63265504607679,0.625866486611814,2.60863152285933,0.0144220761561796,"M6","T2","R",27
"26","E",0.0182411129108421,0.0163636460658763,1.11473401694265,0.274441432844973,"M6","T2","R",27
"27","Eh",2.20238059715987e-08,0.028120125043012,7.83204411001429e-07,0.999999380646808,"M6","T2","R",27
"28","Th",370.969288117989,726223408.090904,5.10819789041492e-07,0.999999596046878,"M6","T2","R",27
