,term,estimate,std.error,statistic,p.value,genotype,treatment,rate.type,temp.Cat
1,lnc,1.624786721,61.57920446,0.026385315,0.979137164,M6T3,T3,R,27
2,E,0.043760805,0.957244933,0.045715369,0.963861607,M6T3,T3,R,27
3,Eh,2.55E-06,1.917143512,1.33E-06,0.99999895,M6T3,T3,R,27
4,Th,317.1657086,420999027.7,7.53E-07,0.999999404,M6T3,T3,R,27
5,lnc,1.622444852,70.75839387,0.022929362,0.981869248,M5T3,T3,R,27
6,E,0.02751925,0.832224158,0.033067112,0.973855667,M5T3,T3,R,27
7,Eh,2.31E-06,1.667849148,1.38E-06,0.999998905,M5T3,T3,R,27
8,Th,300.0706967,475575129.6,6.31E-07,0.999999501,M5T3,T3,R,27
9,lnc,1.495747044,51347.72937,2.91E-05,0.999976964,K2T3,T3,R,27
10,E,0,1364.503354,0,1,K2T3,T3,R,27
11,Eh,0.052661478,437.8852245,0.000120263,0.999904897,K2T3,T3,R,27
12,Th,351.3598224,23837461.06,1.47E-05,0.999988344,K2T3,T3,R,27
13,lnc,1.641963571,0.248981318,6.594725988,3.75E-07,M6C,C,R,27
14,E,0.017234335,0.014286939,1.206300038,0.237795861,M6C,C,R,27
15,Eh,6.82E-09,0.010898024,6.26E-07,0.999999505,M6C,C,R,27
16,Th,334.8412794,744791149.8,4.50E-07,0.999999644,M6C,C,R,27
17,lnc,1.590665087,0.741279825,2.145836206,0.044340614,M5C,C,R,27
18,E,0.03678656,0.038005186,0.967935268,0.344636953,M5C,C,R,27
19,Eh,2.52E-08,0.04796437,5.25E-07,0.999999587,M5C,C,R,27
20,Th,310.199295,503353655.6,6.16E-07,0.999999514,M5C,C,R,27
21,lnc,0.991414659,265.64604,0.003732089,0.997048694,K2C,C,R,27
22,E,0,35.8856309,0,1,K2C,C,R,27
23,Eh,0.258353852,559.3517293,0.000461881,0.999634748,K2C,C,R,27
24,Th,422.8561946,71164.84381,0.005941925,0.995301191,K2C,C,R,27
25,lnc,1.632655046,0.625866487,2.608631523,0.014422076,M6T2,T2,R,27
26,E,0.018241113,0.016363646,1.114734017,0.274441433,M6T2,T2,R,27
27,Eh,2.20E-08,0.028120125,7.83E-07,0.999999381,M6T2,T2,R,27
28,Th,370.9692881,726223408.1,5.11E-07,0.999999596,M6T2,T2,R,27
29,lnc,1.620091098,4.339465659,0.373338845,0.711708017,M5T2,T2,R,27
30,E,0.0181105,0.088302178,0.205096863,0.838980178,M5T2,T2,R,27
31,Eh,1.39E-07,0.162355898,8.55E-07,0.999999324,M5T2,T2,R,27
32,Th,314.0244577,538591062.2,5.83E-07,0.999999539,M5T2,T2,R,27
33,lnc,0.948188903,39.74659594,0.023855852,0.981136793,K2T2,T2,R,27
34,E,0,10.13859584,0,1,K2T2,T2,R,27
35,Eh,0.469314592,593.018649,0.000791399,0.999374166,K2T2,T2,R,27
36,Th,392.0185381,71797.53629,0.005460056,0.995682244,K2T2,T2,R,27
37,lnc,1.620775943,3.298121495,0.491423965,0.626956859,M6T1,T1,R,27
38,E,0.021856789,0.0599675,0.364477233,0.718239942,M6T1,T1,R,27
39,Eh,9.48E-08,0.106233715,8.92E-07,0.999999295,M6T1,T1,R,27
40,Th,189.1533121,152187627.7,1.24E-06,0.999999017,M6T1,T1,R,27
41,lnc,1.025973415,2304.332651,0.000445237,0.99964791,M5T1,T1,R,27
