fragment.ID.full,individual.ID,temp.Cat,treatment,Temp.C,umol.cm2.hr,rate.type,light_dark,fragment.ID,genotype
K201a_2706,K201a,27,T1,26.44653272,0.520482356,NP,light,K201a,K2
K201a_2801,K201a,28,T1,27.12077611,0.60623535,NP,light,K201a,K2
K201a_2903,K201a,29,T1,28.4809316,0.79965963,NP,light,K201a,K2
K201a_3004,K201a,30,T1,29.30243299,0.394626224,NP,light,K201a,K2
K201a_3106,K201a,31,T1,30.02551912,0.435968512,NP,light,K201a,K2
K201a_3202,K201a,32,T1,31.44757175,0.822977388,NP,light,K201a,K2
K201a_3303,K201a,33,T1,32.56415912,0.536844339,NP,light,K201a,K2
K201a_3405,K201a,34,T1,32.92701723,-0.006601794,NP,light,K201a,K2
K201b_2703,K201b,27,T1,26.41847657,0.481147207,NP,light,K201b,K2
K201b_2805,K201b,28,T1,27.37569924,0.457487706,NP,light,K201b,K2
K201b_2906,K201b,29,T1,28.17806804,0.427055455,NP,light,K201b,K2
K201b_3002,K201b,30,T1,29.38777591,0.59897396,NP,light,K201b,K2
K201b_3104,K201b,31,T1,30.18058176,0.708926433,NP,light,K201b,K2
K201b_3205,K201b,32,T1,31.1978655,0.546302922,NP,light,K201b,K2
K201b_3301,K201b,33,T1,32.5590045,0.692069748,NP,light,K201b,K2
K201b_3402,K201b,34,T1,33.2056714,0.265973256,NP,light,K201b,K2
K201c_2701,K201c,27,T1,26.43534989,0.583397576,NP,light,K201c,K2
K201c_2803,K201c,28,T1,27.30795299,0.639783272,NP,light,K201c,K2
K201c_2904,K201c,29,T1,28.6130899,0.756835841,NP,light,K201c,K2
K201c_3006,K201c,30,T1,29.52390021,0.116186128,NP,light,K201c,K2
K201c_3102,K201c,31,T1,30.55022914,0.812877518,NP,light,K201c,K2
K201c_3203,K201c,32,T1,31.4359618,0.756212139,NP,light,K201c,K2
K201c_3305,K201c,33,T1,32.36407526,0.362600103,NP,light,K201c,K2
K201c_3406,K201c,34,T1,33.21438022,-0.056257118,NP,light,K201c,K2
K201d_2704,K201d,27,T1,26.45878894,0.447177564,NP,light,K201d,K2
K201d_2805,K201d,28,T1,27.25797298,0.514310567,NP,light,K201d,K2
K201d_2901,K201d,29,T1,28.37720234,0.813589139,NP,light,K201d,K2
K201d_3002,K201d,30,T1,29.57047449,0.686552121,NP,light,K201d,K2
K201d_3104,K201d,31,T1,29.96914889,0.759243396,NP,light,K201d,K2
K201d_3206,K201d,32,T1,31.3169683,0.338141485,NP,light,K201d,K2
K201d_3301,K201d,33,T1,32.53086145,0.735361045,NP,light,K201d,K2
K201d_3403,K201d,34,T1,33.27699033,0.269043734,NP,light,K201d,K2
K202a_2706,K202a,27,T2,26.46119376,0.478448692,NP,light,K202a,K2
K202a_2801,K202a,28,T2,27.14709405,0.608312936,NP,light,K202a,K2
K202a_2903,K202a,29,T2,28.34466775,0.761988362,NP,light,K202a,K2
K202a_3004,K202a,30,T2,29.42415932,0.326908851,NP,light,K202a,K2
K202a_3106,K202a,31,T2,29.99159624,0.512806754,NP,light,K202a,K2
K202a_3202,K202a,32,T2,31.43756074,0.890858887,NP,light,K202a,K2
K202a_3303,K202a,33,T2,32.32356975,0.620634752,NP,light,K202a,K2
K202a_3405,K202a,34,T2,32.98427253,0.106518661,NP,light,K202a,K2
K202b_2704,K202b,27,T2,26.45492399,0.483261684,NP,light,K202b,K2
K202b_2806,K202b,28,T2,27.2788037,0.440827126,NP,light,K202b,K2
K202b_2901,K202b,29,T2,28.40073564,0.691407684,NP,light,K202b,K2
K202b_3003,K202b,30,T2,29.32848164,0.447253867,NP,light,K202b,K2
K202b_3105,K202b,31,T2,30.02431189,0.582381139,NP,light,K202b,K2
K202b_3206,K202b,32,T2,31.28507227,0.111976779,NP,light,K202b,K2
K202b_3302,K202b,33,T2,32.58998733,0.334285063,NP,light,K202b,K2
K202b_3403,K202b,34,T2,33.17739486,-0.023890271,NP,light,K202b,K2
K202c_2703,K202c,27,T2,26.4303142,0.490611458,NP,light,K202c,K2
K202c_2804,K202c,28,T2,27.10976568,0.539924161,NP,light,K202c,K2
K202c_2906,K202c,29,T2,28.22361693,0.445339415,NP,light,K202c,K2
K202c_3001,K202c,30,T2,29.06065201,0.573473959,NP,light,K202c,K2
K202c_3103,K202c,31,T2,30.63144834,0.73408158,NP,light,K202c,K2
K202c_3205,K202c,32,T2,31.29324462,0.590550272,NP,light,K202c,K2
