individual.ID,temp.Cat,treatment,Temp.C,genotype,Pnet_umol.cm2.hr,Rdark_umol.cm2.hr,GP_umol.cm2.hr
K201a,27,T1,26.44653272,K2,0.520482356,-0.424067001,0.944549357
K201a,28,T1,27.12077611,K2,0.60623535,-0.473975972,1.080211322
K201a,29,T1,28.4809316,K2,0.79965963,-0.450002316,1.249661946
K201a,30,T1,29.30243299,K2,0.394626224,-0.523097009,0.917723233
K201a,31,T1,30.02551912,K2,0.435968512,-0.476526511,0.912495023
K201a,32,T1,31.44757175,K2,0.822977388,-0.575194017,1.398171405
K201a,33,T1,32.56415912,K2,0.536844339,-0.547466828,1.084311167
K201a,34,T1,32.92701723,K2,-0.006601794,-0.487635384,0.48103359
K201b,27,T1,26.41847657,K2,0.481147207,-0.440743931,0.921891138
K201b,28,T1,27.37569924,K2,0.457487706,-0.443637932,0.901125638
K201b,29,T1,28.17806804,K2,0.427055455,-0.394691561,0.821747016
K201b,30,T1,29.38777591,K2,0.59897396,-0.505252,1.10422596
K201b,31,T1,30.18058176,K2,0.708926433,-0.530401043,1.239327476
K201b,32,T1,31.1978655,K2,0.546302922,-0.461092488,1.00739541
K201b,33,T1,32.5590045,K2,0.692069748,-0.510523342,1.20259309
K201b,34,T1,33.2056714,K2,0.265973256,-0.474471053,0.740444309
K201c,27,T1,26.43534989,K2,0.583397576,-0.406892379,0.990289955
K201c,28,T1,27.30795299,K2,0.639783272,-0.413620773,1.053404045
K201c,29,T1,28.6130899,K2,0.756835841,-0.463098913,1.219934754
K201c,30,T1,29.52390021,K2,0.116186128,-0.462109893,0.578296021
K201c,31,T1,30.55022914,K2,0.812877518,-0.561775774,1.374653292
K201c,32,T1,31.4359618,K2,0.756212139,-0.534684648,1.290896787
K201c,33,T1,32.36407526,K2,0.362600103,-0.478444158,0.841044261
K201c,34,T1,33.21438022,K2,-0.056257118,-0.410245911,0.353988793
K201d,27,T1,26.45878894,K2,0.447177564,-0.394142849,0.841320413
K201d,28,T1,27.25797298,K2,0.514310567,-0.482680592,0.996991159
K201d,29,T1,28.37720234,K2,0.813589139,-0.508805347,1.322394486
K201d,30,T1,29.57047449,K2,0.686552121,-0.34841087,1.034962991
K201d,31,T1,29.96914889,K2,0.759243396,-0.566082748,1.325326144
K201d,32,T1,31.3169683,K2,0.338141485,-0.498594861,0.836736346
K201d,33,T1,32.53086145,K2,0.735361045,-0.559392766,1.294753811
K201d,34,T1,33.27699033,K2,0.269043734,-0.405800471,0.674844205
K202a,27,T2,26.46119376,K2,0.478448692,-0.443181796,0.921630488
K202a,28,T2,27.14709405,K2,0.608312936,-0.503080576,1.111393512
K202a,29,T2,28.34466775,K2,0.761988362,-0.472985481,1.234973843
K202a,30,T2,29.42415932,K2,0.326908851,-0.494450185,0.821359036
K202a,31,T2,29.99159624,K2,0.512806754,-0.598064601,1.110871355
K202a,32,T2,31.43756074,K2,0.890858887,-0.548938119,1.439797006
K202a,33,T2,32.32356975,K2,0.620634752,-0.610175146,1.230809898
K202a,34,T2,32.98427253,K2,0.106518661,-0.433758283,0.540276944
K202b,27,T2,26.45492399,K2,0.483261684,-0.364047422,0.847309106
K202b,28,T2,27.2788037,K2,0.440827126,-0.384398009,0.825225135
K202b,29,T2,28.40073564,K2,0.691407684,-0.40509443,1.096502114
K202b,30,T2,29.32848164,K2,0.447253867,-0.469395814,0.916649681
K202b,31,T2,30.02431189,K2,0.582381139,-0.403624115,0.986005254
K202b,32,T2,31.28507227,K2,0.111976779,-0.435413866,0.547390645
K202b,33,T2,32.58998733,K2,0.334285063,-0.467941947,0.80222701
K202b,34,T2,33.17739486,K2,-0.023890271,-0.300086504,0.276196233
K202c,27,T2,26.4303142,K2,0.490611458,-0.423085583,0.913697041
K202c,28,T2,27.10976568,K2,0.539924161,-0.403493512,0.943417673
K202c,29,T2,28.22361693,K2,0.445339415,-0.435619121,0.880958536
