"","genotype","rate.type","treatment","E","Eh","lnc","Th"
"1","K2","GP","C",0.0977303112513907,8.42428495501519,1.37087459380822,307.658136713861
"2","K2","GP","T1",0.0899805325722496,14.9101831379303,1.3795329499353,307.26423564838
"3","K2","GP","T2",0.0856313398571067,15.0855018869854,1.37418584815374,307.063734522776
"4","K2","GP","T3",0.0856296401699729,13.6486983547901,1.36828237339151,307.067773027187
"5","K2","R","C",0,0.258353851930635,0.991414658908497,422.856194559731
"6","K2","R","T1",0,0.0559527200869062,1.71031372691083,280.083584126446
"7","K2","R","T2",0,0.469314592456385,0.948188902833332,392.018538063686
"8","K2","R","T3",0,0.0526614782909327,1.49574704439588,351.35982237388
"9","M5","GP","C",0.209345323658828,7.1691789831862,1.38040778448307,307.267145246796
"10","M5","GP","T1",0.149679252472693,8.16935273283991,1.36776809069233,307.500388901591
"11","M5","GP","T2",0.108505197258608,7.45263768930249,1.35555818716719,307.654011126609
"12","M5","GP","T3",0.0687855107640472,12.3918623486056,1.34331382182587,307.26075541343
"13","M5","R","C",0.036786560019357,2.51628241331546e-08,1.59066508737017,310.199295024002
"14","M5","R","T1",0,0.122111612405587,1.02597341522272,569.730481186942
"15","M5","R","T2",0.0181104996984604,1.38797746856346e-07,1.62009109753569,314.02445769921
"16","M5","R","T3",0.0275192496020788,2.3096611954432e-06,1.62244485196563,300.070696689984
"17","M6","GP","C",0.0586293461556449,12.6041711665245,1.34665024841579,307.187569354664
"18","M6","GP","T1",0.109858761556682,11.4366214591024,1.38176245249997,307.160365052106
"19","M6","GP","T2",0.0587683283837861,11.5830624729148,1.34963610031244,307.216595780897
"20","M6","GP","T3",0.0869173279723145,10.3026271500164,1.35959011850488,307.266706039031
"21","M6","R","C",0.0172343345600876,6.82081625293494e-09,1.64196357137553,334.841279373889
"22","M6","R","T1",0.0218567885403627,9.47686180683857e-08,1.62077594304311,189.153312146377
"23","M6","R","T2",0.0182411129108421,2.20238059715987e-08,1.63265504607679,370.969288117989
"24","M6","R","T3",0.0437608052827253,2.54617644891646e-06,1.6247867214796,317.165708567856
