"","individual.ID","genotype","rate.type","treatment","E","Eh","lnc","Th"
"1","K201a","K2","GP","T1",0.0868631608627155,38.6153100273412,1.38598284793274,306.388291287044
"2","K201a","K2","R","T1",0.00355432447452193,0.0488720196876554,5.20435543009835,92.2575743102528
"3","K201b","K2","GP","T1",0.104134336859631,174.049873043451,1.36188390027097,306.449734767211
"4","K201b","K2","R","T1",27.1093097307162,27.1407916199357,9.17410644285865,297.812224788129
"5","K201c","K2","GP","T1",0.0837404924461783,12.7725066313447,1.38394806760694,307.182162232488
"6","K201c","K2","R","T1",0,0.0541175606515821,1.64777678220051,295.925556394528
"7","K201d","K2","GP","T1",4.81576959682169,5.06826667818117,3.27489626389784,297.53053374223
"8","K201d","K2","R","T1",5.57376103671451e-05,0.0263881851470517,2.61198687860475,122.961308949253
"9","K202a","K2","GP","T2",0.112211645984067,32.5644377161846,1.38531541777428,306.500621496099
"10","K202a","K2","R","T2",0,0.0584487359566564,1.696185162783,280.721540381442
"11","K202b","K2","GP","T2",1.61368465316114,2.31720766407908,2.25720538873181,298.898602752137
"12","K202b","K2","R","T2",4.08533300711747e-06,0.00508753881643036,1.64654556118983,304.365485231908
"13","K202c","K2","GP","T2",0.160992941477327,6.98305253733323,1.36500860857438,307.913940629822
"14","K202c","K2","R","T2",0,0.000530284705365986,1.63374546783376,303.123714913281
"15","K202d","K2","GP","T2",0.14949179605518,14.5583143297901,1.38228648558907,306.871359521208
"16","K202d","K2","R","T2",0,0.0781131646834869,1.90461388857226,257.850877704893
"17","K203a","K2","GP","T3",0.137184657066745,9.51801280484357,1.35512286171387,307.319494024021
"18","K203a","K2","R","T3",0,0.0727877497352058,1.75495956597201,277.211845718855
"19","K203b","K2","GP","T3",0.111742125300577,13.7414330430476,1.39979555235519,306.813604938107
"20","K203b","K2","R","T3",0,0.0393628922491062,1.16545818037903,1631.83021173167
"21","K203c","K2","GP","T3",0.063798752045475,30.7070944468807,1.35810224916838,306.682450124501
"22","K203c","K2","R","T3",5.05691726067351e-06,0.0263104820721321,1.67717672680771,282.743377722189
"23","K203d","K2","GP","T3",1.51369942737566,2.40170687795307,2.00858549105368,300.411308474178
"24","K203d","K2","R","T3",0,0.0554551466609859,1.70483494707755,286.188959188571
"25","K20Ca","K2","R","C",0,0.18455862956894,1.00771906844642,448.235362346452
"26","K20Cb","K2","GP","C",0.0637873142447425,6.86054580708621,1.33639157507151,307.787150118796
"27","K20Cb","K2","R","C",15.2055881617078,15.228878979306,6.36799645891966,297.428632714476
"28","K20Cc","K2","GP","C",0.0697406580454103,13.1030694254195,1.38682660586414,307.274588317534
"29","K20Cc","K2","R","C",0.000277206373087343,0.0112798287937248,3.77789204856638,40.5022222451155
"30","K20Cd","K2","GP","C",0.059956744179306,25.2634337464376,1.37428670971263,306.724922149839
"31","K20Cd","K2","R","C",0,0.0520746286627123,1.46178433915712,366.972742953263
"32","M501a","M5","GP","T1",0.16056474435011,12.7773151886209,1.33894324073743,307.147300887314
"33","M501a","M5","R","T1",1.40799544735647e-05,0.0156667429679259,1.59528701626649,330.422709169503
"34","M501b","M5","GP","T1",0.10776961774786,15.5938545416341,1.3531006270982,306.980799556383
"35","M501b","M5","R","T1",0,0.0717647023915706,1.77126843307704,274.030330717404
"36","M501c","M5","GP","T1",0.700097195947011,2.72606473153324,1.54479915259445,305.450635934001
"37","M501c","M5","R","T1",0.017329259157751,8.41668047096116e-10,1.60328571249347,379.946664362006
"38","M501d","M5","GP","T1",0.315791018156087,4.56784386917612,1.39095195086838,307.465589883829
"39","M501d","M5","R","T1",0,0.000775406994707732,1.6098829298318,261.822116251676
"40","M502a","M5","GP","T2",1.58740387220087,2.55211318068478,2.02096016863036,300.434555786688
"41","M502a","M5","R","T2",0.0393407105224294,5.25812065703043e-06,1.59116616618587,288.089694355844
"42","M502b","M5","GP","T2",0.00768858806264279,13.3938998042267,1.36357154785378,307.224439470249
"43","M502b","M5","R","T2",0,0.0038884896652777,1.62435585840193,305.426093330821
"44","M502c","M5","GP","T2",0.0973877552164945,11.1262407265277,1.32117568544869,307.264483712654
