"","genotype","treatment","rate.type","meanTopt","seTopt","meanE","seE","meanTh","seTh","meanEh","seEh","meanlnc","selnc"
"1","K2","C","GP",31.267013111445,0.490550224250793,0.0644949054898196,0.00284644554151427,307.26222019539,0.306701153319788,15.0756829929811,5.40323897744914,1.36583496354943,0.0151602230927831
"2","K2","C","R",-265.8028743526,7.34712564739959,9.24021243624475e-05,9.24021243624475e-05,285.236775848277,124.595551850998,0.0826376956751256,0.0523034782094783,2.08246515205664,0.857787481173297
"3","K2","T1","GP",30.6200074053691,1.63089025159875,1.27262689674755,1.18105608021219,304.387680507243,2.29281670173322,57.6264890950796,39.4652544926302,1.85167776992712,0.474437539894777
"4","K2","T1","R",-235.476733044379,21.1062494464744,0.00120335402829636,0.0011755953384806,170.381479884678,63.3947058521159,0.0431259218287631,0.00850475939147777,3.15470636363454,1.06195123071384
"5","K2","T2","GP",30.8432508127273,0.995267930472016,0.509095259169428,0.368343612903361,305.046131099816,2.07089830325399,14.1057530618468,6.6497526033346,1.59745397516738,0.21996260899205
"6","K2","T2","R",-270.815732212697,2.33426778730276,1.02133325177937e-06,1.02133325177937e-06,286.515404557881,10.9912287557368,0.0355449310404849,0.0193440709998925,1.72027252009471,0.0629050449465766
"7","K2","T3","GP",31.0098454251503,0.68767737702356,0.456606240447114,0.352692634674086,305.306714390202,1.63757058043704,14.0920617931812,6.01226921106354,1.53040153857278,0.159720452597863
"8","K2","T3","R",-264.314630988213,8.83536901178678,1.26422931516838e-06,1.26422931516838e-06,619.49359859032,337.450602626606,0.0484790676793575,0.0100586966665263,1.57560735505908,0.137660714822828
"9","M5","C","GP",31.4021366743143,0.203083003395818,0.424195935121001,0.282711814576427,306.265002567846,0.597540371242104,8.4840741313153,5.171272383233,1.41834462727109,0.0629764168476122
"10","M5","C","R",-273.15076478685,0.000409257016611323,0.036516734396632,0.017514624177791,210.197160114949,105.360106085506,7.20973151426941e-07,3.80890155136579e-07,1.60407998176923,0.0257351172711683
"11","M5","T1","GP",31.5608146163972,0.151886695297405,0.321055644050267,0.133837112520075,306.761081565382,0.448241107345223,8.91626958274109,3.11883066148501,1.40694874282461,0.0472431659149577
"12","M5","T1","R",-266.228444986208,6.92155519622763,0.00433583477805615,0.00433114273134327,311.555455125147,27.2563000872798,0.022051713298968,0.0169585483923341,1.6449310229172,0.042218054304846
"13","M5","T2","GP",30.4216126486056,0.572904804738374,0.484519133846545,0.370885981000076,305.571159241413,1.71244157741474,8.20408503305145,2.47436103281254,1.51762255290347,0.168085252774583
"14","M5","T2","R",-273.151765590319,0.00147014038435781,0.0183749669593898,0.00821647627433114,282.011738238217,18.6468585054022,0.000973656674616649,0.000971611666744713,1.61983949876404,0.0103374352316243
"15","M5","T3","GP",31.6157548658042,0.260953691771059,0.0959432199442979,0.0340780409426577,307.129493023678,0.192108359763739,17.9030274894071,6.60348194631004,1.34318871465392,0.00712934795268505
"16","M5","T3","R",-273.1574045574,0.00702262750238616,0.0275708446666886,0.00354969198808052,343.546136379299,31.3107878620156,5.47440395380445e-06,5.10601446310721e-06,1.62244069382083,0.00619679964352651
"17","M6","C","GP",31.72059323439,0.118337920489154,0.0551438478525887,0.000270151677921687,306.838572268311,0.304455034356863,21.3974832173449,5.67879835938474,1.34036834118321,0.00776814244213309
"18","M6","C","R",-273.150301871225,0.000155533918456082,0.0171517498307245,0.00536881338907771,86977.3729046045,53796.0346944043,2.99062808163114e-07,1.49764524324954e-07,1.64198277019303,0.00108128296633838
"19","M6","T1","GP",30.5605971246198,1.07677861394786,0.731389829962102,0.609021518648254,304.879726995539,2.05387771427827,11.7944067332374,3.06244796864152,1.64187247394571,0.265199433694639
"20","M6","T1","R",-269.719932250614,3.43060640668597,0.0228837014821901,0.0091076072197856,418.946712416065,101.794472727366,0.00185001364640564,0.00184946503430666,1.6155864847226,0.00954306904412546
"21","M6","T2","GP",31.5086257871467,0.0272718140971335,0.13078480348235,0.0277753322413824,307.047285850069,0.0551023268919266,11.9359383389118,1.20616446012269,1.33328516732145,0.0153949115780093
"22","M6","T2","R",-273.151562976846,0.0014167794149008,0.0200926423344022,0.0143776608480863,633.910829315438,500.074283745618,0.00346956088653589,0.00346833987761631,1.58149981518737,0.0499770384817812
"23","M6","T3","GP",30.753490507954,0.772340080711787,0.504731447346152,0.362300073591245,305.166116873957,1.75707114214303,10.9634972380228,4.03698672886235,1.5421434852293,0.189768073442012
"24","M6","T3","R",-273.15016965614,9.84648805811072e-05,0.0435082283400042,0.00557711245821715,310.780028518964,7.12834737667104,1.87877528843415e-07,1.03046457517794e-07,1.62485803777586,0.00658411865964817
