"","term","estimate","std.error","statistic","p.value","genotype","treatment","rate.type"
"1","lnc",1.89925425314198,0.334490133690806,5.67805762216471,0.00474777738640418,"SF1","shallow","GP"
"2","E",1.08550648786022,0.32135595687047,3.37789440230528,0.0278396019398469,"SF1","shallow","GP"
"3","Eh",2.53655311184855,0.150991531990687,16.7993070764062,7.35860830248043e-05,"SF1","shallow","GP"
"4","Th",299.852594834344,1.92026660191218,156.151544028186,1.0088982929032e-08,"SF1","shallow","GP"
"5","lnc",1.31917125349754,0.191697945746185,6.88150959762591,0.00233680380866541,"MF2","deep","GP"
"6","E",0.42091068473329,0.219751135876266,1.91539708340934,0.127947877717444,"MF2","deep","GP"
"7","Eh",2.65619945986819,0.44349806973404,5.98920185032842,0.00390825114116453,"MF2","deep","GP"
"8","Th",305.239528159143,2.18688002548124,139.577628677628,1.58029944507372e-08,"MF2","deep","GP"
"9","lnc",0.334895547496824,0.0410009209699599,8.16800061008855,0.00122318162135801,"SC1","shallow","R"
"10","E",0.0974664638445519,0.0735990450818575,1.32428978849045,0.256007225758669,"SC1","shallow","R"
"11","Eh",86.3012726926913,398929226.696778,2.1633228883049e-07,0.999999837750783,"SC1","shallow","R"
"12","Th",309.382340804045,1180107.88442146,0.000262164455375805,0.999803376661283,"SC1","shallow","R"
"13","lnc",0.378809027271959,0.0428103233844364,8.84854393343999,0.00304255823727976,"MC2","deep","R"
"14","E",0.127133199636213,0.0645040064870313,1.97093493195301,0.143316265231011,"MC2","deep","R"
"15","Eh",90.8788332244365,818481472.770035,1.11033464101356e-07,0.999999918378724,"MC2","deep","R"
"16","Th",309.471539549696,3230470.62702702,9.57976639566292e-05,0.999929578639806,"MC2","deep","R"
"17","lnc",46.6862105482916,812208.989602607,5.74805390557595e-05,0.999956889595738,"MC1","deep","R"
"18","E",43.0980623863616,797330.016497803,5.40529786846176e-05,0.999959460266011,"MC1","deep","R"
"19","Eh",43.1076439708245,797329.977909436,5.40649983885603e-05,0.999959451251233,"MC1","deep","R"
"20","Th",292.032777682247,7566.98218722811,0.0385930309410735,0.971064204738894,"MC1","deep","R"
"21","lnc",0.973414991221789,0.121519763328686,8.01034304674299,0.00131740656899239,"SC3","shallow","GP"
"22","E",0.310398643760492,0.161894213450745,1.91729300970308,0.127668811179356,"SC3","shallow","GP"
"23","Eh",3.3007632338378,0.862870922763508,3.82532676297224,0.0186927574340042,"SC3","shallow","GP"
"24","Th",307.003376545381,1.46136523195495,210.07984166606,3.07998161730036e-09,"SC3","shallow","GP"
"25","lnc",0.845592295711221,0.1244108616461,6.79677227955065,0.00651198115389154,"SC2","shallow","GP"
"26","E",0.0856731363392979,0.179492551511975,0.477307473862403,0.665760114417318,"SC2","shallow","GP"
