"","genotype","treatment","rate.type","mean","se"
"1","K2","C","GP",0.690131778541994,0.046180264388668
"2","K2","C","R",0.408123607369579,0.0239659040024626
"3","K2","T1","GP",0.752025986865192,0.0285758358810833
"4","K2","T1","R",0.420893887193206,0.00998569326392262
"5","K2","T2","GP",0.783035759531307,0.0309457843630264
"6","K2","T2","R",0.411406244402446,0.0273491114133838
"7","K2","T3","GP",0.730468118099292,0.023083256566154
"8","K2","T3","R",0.411763488258881,0.0163821161287179
"9","M5","C","GP",1.05301610076724,0.291443835383965
"10","M5","C","R",0.611443790056728,0.186620998753282
"11","M5","T1","GP",0.734244550685082,0.00817283306644566
"12","M5","T1","R",0.362780469534434,0.066858650097094
"13","M5","T2","GP",0.679758034655527,0.0267732049010373
"14","M5","T2","R",0.398003912376421,0.0167572306242805
"15","M5","T3","GP",0.659063244627827,0.0121335771481332
"16","M5","T3","R",0.38574081725578,0.0109574019491672
"17","M6","C","GP",0.651029359069746,0.00955253550218371
"18","M6","C","R",0.362205831917166,0.00508810992385416
"19","M6","T1","GP",0.778937657523551,0.0300387502965663
"20","M6","T1","R",0.351740325083225,0.0424722759744426
"21","M6","T2","GP",0.67805942053274,0.0151724269046329
"22","M6","T2","R",0.317825229781624,0.0551380203395382
"23","M6","T3","GP",0.707631767157727,0.0352204108391567
"24","M6","T3","R",0.3725582557163,0.00945769450470314
