"","individual.ID","genotype","rate.type","treatment","E","Eh","lnc","Th"
"1","K201a","K2","GP","T1",0.165436934915265,43.0544964559272,0.692314668081317,306.197078101466
"2","K201a","K2","R","T1",0.12308807516099,22.9076640708708,0.368636403351976,307.125855711573
"3","K201b","K2","GP","T1",0.206765725349202,212.867535112393,0.643430180884786,306.403315439764
"4","K201b","K2","R","T1",0.0957660646859616,7.61740072704947,0.361037180679944,309.683689408136
"5","K201c","K2","GP","T1",0.15642565616299,14.3798617413291,0.686093370907285,306.589192007145
"6","K201c","K2","R","T1",0.194279556360165,7.65717074910854,0.347026775981362,308.220582345366
"7","K201d","K2","GP","T1",5.15768081496113,5.65190390995243,2.00148645510807,298.78656668339
"8","K201d","K2","R","T1",0.0986251519900941,206.863717716068,0.361331075402686,306.5174641934
"9","K202a","K2","GP","T2",0.215110989604761,35.0654560115578,0.690687274423959,306.283163684145
"10","K202a","K2","R","T2",0.126719520759803,193.090799496858,0.384199927888086,306.287814639084
"11","K202b","K2","GP","T2",0,11.7519018916821,0.639062695794357,306.931423831722
"12","K202b","K2","R","T2",0.082530680916931,177.693538695645,0.325173822747271,306.416196162349
"13","K202c","K2","GP","T2",0.307332028707227,7.86599879223439,0.648897116399479,306.888459564699
"14","K202c","K2","R","T2",0.219384029669641,3.05835229281084,0.372452407512967,310.165017550889
"15","K202d","K2","GP","T2",0.287521666868128,16.8157918740979,0.685322138484595,306.352516529692
"16","K202d","K2","R","T2",0.243787960652419,6.79738014872913,0.35768413431852,308.369985623819
"17","K203a","K2","GP","T3",0.256485150982824,11.0102428077669,0.627645211123414,306.534137303208
"18","K203a","K2","R","T3",0.400316177659846,3.88166164165474,0.36104320080436,308.4011830172
"19","K203b","K2","GP","T3",0.210875354797617,15.6854018611373,0.717483221635829,306.2595211976
"20","K203b","K2","R","T3",0.155557158608269,11.5211244856402,0.393703795995895,307.426908996755
"21","K203c","K2","GP","T3",0.125175064888491,34.417166705274,0.635604695963754,306.429251957176
"22","K203c","K2","R","T3",0.168190914311627,8.07591484191651,0.324767166539032,308.164362285753
"23","K203d","K2","GP","T3",1.6094750807426,3.37351540529377,0.945002609644151,302.426018389876
"24","K203d","K2","R","T3",0.133157598803882,193.371699250324,0.317934107723841,306.357628970505
"25","K20Ca","K2","R","C",0.286019771344272,4.54421632795751,0.389032484743876,308.622702785467
"26","K20Cb","K2","GP","C",0.129071897295715,7.81004925253023,0.588376492471961,306.596022515884
"27","K20Cb","K2","R","C",0.0158593504693642,9.89699215468693e-07,0.993566276846941,273.853831086951
"28","K20Cc","K2","GP","C",0.128603183817894,14.4111508576544,0.692749335849735,306.732937219451
"29","K20Cc","K2","R","C",0.344451676771088,1.58831110550521,0.519470883094683,309.919956770008
"30","K20Cd","K2","GP","C",0.112238432479436,29.4535734459683,0.669126935811139,306.413800939581
"31","K20Cd","K2","R","C",0.103337831853933,261.10651064239,0.362647813612638,306.35655853071
"32","M501a","M5","GP","T1",0.317092992026181,14.5043945880259,0.593935161650377,306.551968814694
"33","M501a","M5","R","T1",0.133741140587418,11.7796932293647,0.366049375956149,307.595045501072
"34","M501b","M5","GP","T1",0.207899013270788,17.2604770583079,0.623590156665021,306.514479784766
"35","M501b","M5","R","T1",0.265802332640156,7.51833000753466,0.34775622344388,307.814417710228
"36","M501c","M5","GP","T1",0.992257870470481,3.95784908044249,0.811907730685926,304.600012697559
"37","M501c","M5","R","T1",15.551236825224,15.6627583251007,3.7529775546715,298.526777601989
"38","M501d","M5","GP","T1",0.577511656405766,5.50704115758033,0.687939333311786,306.012328001129
"39","M501d","M5","R","T1",0.98677931826987,2.19471186162707,0.672738085967934,303.92658311875
"40","M502a","M5","GP","T2",1.77410176922925,3.61255557670856,1.00568103808971,302.086321544035
"41","M502a","M5","R","T2",0.918881850790184,2.647250571847,0.600715436113375,304.625061990337
"42","M502b","M5","GP","T2",0.00470945371124715,15.1241351341485,0.644764364821956,306.636475423839
"43","M502b","M5","R","T2",0.272768964791898,4.82678518687586,0.363079875426822,308.268713386661
"44","M502c","M5","GP","T2",0.197657252381451,12.6996424355901,0.556506611429695,306.527213482818
"45","M502c","M5","R","T2",0.187405389053123,5.57212492179752,0.332680765031189,308.325952101733
"46","M502d","M5","GP","T2",0.462440422456518,6.96497748988417,0.642173822282377,306.092932587318
"47","M502d","M5","R","T2",0.250184372373411,6.37586596859703,0.357052816389689,307.71039189425
