replicas,individual.ID,genotype,rate.type,treatment,E,Eh,lnc,Th,topt,topt_C
K2T1,K201a,K2,GP,T1,0.086863161,38.61531003,1.385982848,306.3882913,305.3239,32.1739
K2T1,K201b,K2,GP,T1,0.104134337,174.049873,1.3618839,306.4497348,306.1513616,33.0013616
K2T1,K201c,K2,GP,T1,0.083740492,12.77250663,1.383948068,307.1821622,304.6386776,31.48867759
K2T1,K201d,K2,GP,T1,4.815769597,5.068266678,3.274896264,297.5305337,298.9660904,25.81609043
K2T2,K202a,K2,GP,T2,0.112211646,32.56443772,1.385315418,306.5006215,305.3435625,32.19356253
K2T2,K202b,K2,GP,T2,1.613684653,2.317207664,2.257205389,298.8986028,301.0346479,27.88464786
K2T2,K202c,K2,GP,T2,0.160992941,6.983052537,1.365008609,307.9139406,304.7059482,31.55594819
K2T2,K202d,K2,GP,T2,0.149491796,14.55831433,1.382286486,306.8713595,304.8888447,31.73884467
K2T3,K203a,K2,GP,T3,0.137184657,9.518012805,1.355122862,307.319494,304.5732693,31.42326929
K2T3,K203b,K2,GP,T3,0.111742125,13.74143304,1.399795552,306.8136049,304.5790034,31.42900338
K2T3,K203c,K2,GP,T3,0.063798752,30.70709445,1.358102249,306.6824501,305.3217803,32.17178028
K2T3,K203d,K2,GP,T3,1.513699427,2.401706878,2.008585491,300.4113085,302.1653287,29.01532874
K2C,K20Cb,K2,GP,C,0.063787314,6.860545807,1.336391575,307.7871501,303.4707057,30.32070565
K2C,K20Cc,K2,GP,C,0.069740658,13.10306943,1.386826606,307.2745883,304.6659009,31.51590091
K2C,K20Cd,K2,GP,C,0.059956744,25.26343375,1.37428671,306.7249221,305.1144328,31.96443278
M5T1,M501a,M5,GP,T1,0.160564744,12.77731519,1.338943241,307.1473009,305.0131302,31.86313019
M5T1,M501b,M5,GP,T1,0.107769618,15.59385454,1.353100627,306.9807996,304.9241785,31.77417855
M5T1,M501c,M5,GP,T1,0.700097196,2.726064732,1.544799153,305.4506359,304.3940119,31.24401189
M5T1,M501d,M5,GP,T1,0.315791018,4.567843869,1.390951951,307.4655899,304.5119378,31.36193783
M5T2,M502a,M5,GP,T2,1.587403872,2.552113181,2.020960169,300.4345558,302.0442168,28.89421678
M5T2,M502b,M5,GP,T2,0.007688588,13.3938998,1.363571548,307.2244395,303.3481234,30.19812338
M5T2,M502c,M5,GP,T2,0.097387755,11.12624073,1.321175685,307.2644837,304.554186,31.40418597
M5T2,M502d,M5,GP,T2,0.24559632,5.744086421,1.36478281,307.361158,304.3399245,31.18992447
M5T3,M503a,M5,GP,T3,0.048873402,16.10040693,1.340216133,306.9643117,304.5630559,31.4130559
M5T3,M503b,M5,GP,T3,0.16986881,5.90406197,1.346403667,307.657868,304.1760047,31.02600465
M5T3,M503c,M5,GP,T3,0.136804272,12.9546606,1.325881348,307.1355763,304.9229377,31.7729377
M5T3,M503d,M5,GP,T3,0.028226396,36.65298046,1.360253711,306.7602161,305.4010212,32.25102121
M5C,M50Cb,M5,GP,C,0.70690775,3.312801748,1.481321044,305.6674622,304.3490537,31.19905367
M5C,M50Cc,M5,GP,C,0.141484121,13.65534651,1.35536821,306.8625429,304.7552197,31.60521968
M6T1,M601a,M6,GP,T1,0.22604849,11.54598417,1.345234636,307.1701454,305.1176342,31.96763419
M6T1,M601b,M6,GP,T1,0.082260136,15.34825431,1.427711862,306.6710374,304.4535231,31.30352312
M6T1,M601c,M6,GP,T1,2.555169692,3.271883927,2.435626866,298.7257191,300.5059955,27.35599552
M6T1,M601d,M6,GP,T1,0.062081002,17.01150453,1.358916531,306.9520062,304.7652357,31.61523566
M6T2,M602b,M6,GP,T2,0.158560136,10.72977388,1.317890256,307.1023882,304.6858976,31.5358976
M6T2,M602d,M6,GP,T2,0.103009471,13.1421028,1.348680079,306.9921835,304.631354,31.48135397
M6T3,M603a,M6,GP,T3,1.585393648,2.477746018,2.109186085,299.8972723,301.6391406,28.48914064
M6T3,M603b,M6,GP,T3,0.087053225,20.972604,1.319818965,306.7826309,305.0576787,31.90767869
M6T3,M603c,M6,GP,T3,0.09238047,13.53473442,1.340100441,307.0369353,304.6616111,31.51161106
M6T3,M603d,M6,GP,T3,0.254098446,6.868904514,1.39946845,306.947629,304.2555316,31.10553164
M6C,M60Cc,M6,GP,C,0.055414,27.07628158,1.332600199,306.5341172,304.9889312,31.83893115
M6C,M60Cd,M6,GP,C,0.054873696,15.71868486,1.348136484,307.1430273,304.7522553,31.60225531
K2T1,K201a,K2,R,T1,0.003554324,0.04887202,5.20435543,92.25757431,73.00126226,-200.1487377
K2T1,K201c,K2,R,T1,0,0.054117561,1.647776782,295.9255564,0,-273.15
K2T1,K201d,K2,R,T1,5.57E-05,0.026388185,2.611986879,122.9613089,40.01853861,-233.1314614
K2T2,K202a,K2,R,T2,0,0.058448736,1.696185163,280.7215404,0,-273.15
K2T2,K202b,K2,R,T2,4.09E-06,0.005087539,1.646545561,304.3654852,9.337071149,-263.8129289
K2T2,K202c,K2,R,T2,0,0.000530285,1.633745468,303.1237149,0,-273.15
K2T2,K202d,K2,R,T2,0,0.078113165,1.904613889,257.8508777,0,-273.15
K2T3,K203a,K2,R,T3,0,0.07278775,1.754959566,277.2118457,0,-273.15
K2T3,K203b,K2,R,T3,0,0.039362892,1.16545818,1631.830212,0,-273.15
K2T3,K203c,K2,R,T3,5.06E-06,0.026310482,1.677176727,282.7433777,35.34147605,-237.808524
K2T3,K203d,K2,R,T3,0,0.055455147,1.704834947,286.1889592,0,-273.15
K2C,K20Ca,K2,R,C,0,0.18455863,1.007719068,448.2353623,0,-273.15
K2C,K20Cc,K2,R,C,0.000277206,0.011279829,3.777892049,40.50222225,22.04137694,-251.1086231
K2C,K20Cd,K2,R,C,0,0.052074629,1.461784339,366.972743,0,-273.15
M5T1,M501a,M5,R,T1,1.41E-05,0.015666743,1.595287016,330.4227092,27.6862206,-245.4637794
M5T1,M501b,M5,R,T1,0,0.071764702,1.771268433,274.0303307,0,-273.15
M5T1,M501c,M5,R,T1,0.017329259,8.42E-10,1.603285712,379.9466644,-5.47E-07,-273.1500005
M5T1,M501d,M5,R,T1,0,0.000775407,1.60988293,261.8221163,0,-273.15
M5T2,M502a,M5,R,T2,0.039340711,5.26E-06,1.591166166,288.0896944,-0.006149082,-273.1561491
M5T2,M502b,M5,R,T2,0,0.00388849,1.624355858,305.4260933,0,-273.15
M5T2,M502c,M5,R,T2,0.02092457,1.74E-07,1.640520707,227.5642464,-0.000159371,-273.1501594
M5T2,M502d,M5,R,T2,0.013234588,7.05E-07,1.623315264,306.9669189,-0.000753908,-273.1507539
M5T3,M503a,M5,R,T3,0.024364663,3.73E-08,1.626194415,432.0291717,-3.00E-05,-273.15003
M5T3,M503b,M5,R,T3,0.036475818,2.08E-05,1.617058146,296.4311745,-0.028461016,-273.178461
M5T3,M503c,M5,R,T3,0.019957653,9.78E-07,1.637684507,302.1297659,-0.001038912,-273.1510389
M5T3,M503d,M5,R,T3,0.029485244,1.03E-07,1.608825708,343.5944334,-8.83E-05,-273.1500883
M5C,M50Ca,M5,R,C,0.069700881,8.72E-08,1.57079114,301.2273668,-6.93E-05,-273.1500693
M5C,M50Cb,M5,R,C,0.029640395,1.40E-06,1.586727659,329.2645041,-0.001486312,-273.1514863
M5C,M50Cc,M5,R,C,0.010208927,6.72E-07,1.654721146,0.099609452,-0.000738726,-273.1507387
M6T1,M601a,M6,R,T1,6.67E-06,0.007398409,1.616898796,351.8847535,13.72188696,-259.428113
M6T1,M601b,M6,R,T1,0.016439053,6.87E-08,1.593038916,293.0529199,-5.95E-05,-273.1500595
M6T1,M601c,M6,R,T1,0.038096729,9.27E-07,1.61283888,308.8055403,-0.000925364,-273.1509254
M6T1,M601d,M6,R,T1,0.036992351,6.50E-07,1.639569347,722.0436359,-0.000631052,-273.1506311
M6T2,M602a,M6,R,T2,0.061298053,6.83E-08,1.623561382,9.716685284,-5.39E-05,-273.1500539
M6T2,M602b,M6,R,T2,0.000700792,3.20E-06,1.65371861,143.2987734,-0.00580531,-273.1558053
M6T2,M602c,M6,R,T2,0.018371724,3.97E-07,1.615072705,256.1196927,-0.000392711,-273.1503927
M6T2,M602d,M6,R,T2,0,0.01387458,1.433646564,2126.508166,0,-273.15
M6T3,M603a,M6,R,T3,0.059304102,4.46E-08,1.624728926,303.2685261,-3.43E-05,-273.1500343
M6T3,M603b,M6,R,T3,0.0332663,5.32E-08,1.63759349,331.765634,-4.30E-05,-273.150043
M6T3,M603c,M6,R,T3,0.039423526,1.69E-07,1.63035612,300.7138626,-0.000146352,-273.1501464
M6T3,M603d,M6,R,T3,0.042038984,4.85E-07,1.606753615,307.3720914,-0.000455012,-273.150455
M6C,M60Ca,M6,R,C,0.020750512,3.11E-08,1.640793396,311.9656602,-2.51E-05,-273.1500251
M6C,M60Cb,M6,R,C,0.030332772,5.28E-07,1.639851653,222026.7493,-0.000512728,-273.1505127
M6C,M60Cc,M6,R,C,0.011796562,5.87E-07,1.644774601,125269.1025,-0.000623838,-273.1506238
M6C,M60Cd,M6,R,C,0.005727153,5.00E-08,1.64251143,301.674137,-4.59E-05,-273.1500459
