"","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID","genotype"
"1","K201a","27","T1","26.4465327179892","0.52048235585502","NP","light","K201a","K2"
"3","K201a","28","T1","27.1207761118684","0.606235349939112","NP","light","K201a","K2"
"5","K201a","29","T1","28.4809315959928","0.799659629985693","NP","light","K201a","K2"
"7","K201a","30","T1","29.3024329859685","0.394626224496811","NP","light","K201a","K2"
"9","K201a","31","T1","30.0255191239729","0.435968512045661","NP","light","K201a","K2"
"11","K201a","32","T1","31.4475717458211","0.82297738760239","NP","light","K201a","K2"
"13","K201a","33","T1","32.5641591184272","0.536844338618425","NP","light","K201a","K2"
"15","K201a","34","T1","32.9270172306584","-0.00660179416377695","NP","light","K201a","K2"
"17","K201b","27","T1","26.4184765736336","0.481147206702596","NP","light","K201b","K2"
"19","K201b","28","T1","27.3756992447535","0.457487706032866","NP","light","K201b","K2"
"21","K201b","29","T1","28.1780680372421","0.427055454528907","NP","light","K201b","K2"
"23","K201b","30","T1","29.3877759057013","0.598973960431247","NP","light","K201b","K2"
"25","K201b","31","T1","30.1805817600751","0.70892643251311","NP","light","K201b","K2"
"27","K201b","32","T1","31.1978655033091","0.546302921763924","NP","light","K201b","K2"
"29","K201b","33","T1","32.5590044983122","0.692069748330982","NP","light","K201b","K2"
"31","K201b","34","T1","33.2056713957706","0.265973255976954","NP","light","K201b","K2"
"33","K201c","27","T1","26.4353498874218","0.583397575661409","NP","light","K201c","K2"
"35","K201c","28","T1","27.3079529907434","0.639783271602849","NP","light","K201c","K2"
"37","K201c","29","T1","28.6130899039241","0.756835840971941","NP","light","K201c","K2"
"39","K201c","30","T1","29.5239002094609","0.116186128151289","NP","light","K201c","K2"
"41","K201c","31","T1","30.5502291437144","0.812877518125867","NP","light","K201c","K2"
"43","K201c","32","T1","31.4359618014886","0.756212139275803","NP","light","K201c","K2"
"45","K201c","33","T1","32.3640752642529","0.362600103425486","NP","light","K201c","K2"
"47","K201c","34","T1","33.2143802176663","-0.0562571176508391","NP","light","K201c","K2"
"49","K201d","27","T1","26.4587889364859","0.447177564455541","NP","light","K201d","K2"
"51","K201d","28","T1","27.2579729790207","0.51431056734114","NP","light","K201d","K2"
"53","K201d","29","T1","28.3772023399703","0.813589139176556","NP","light","K201d","K2"
"55","K201d","30","T1","29.5704744872919","0.686552120850532","NP","light","K201d","K2"
"57","K201d","31","T1","29.9691488869954","0.759243395834178","NP","light","K201d","K2"
"59","K201d","32","T1","31.3169682958629","0.338141485349306","NP","light","K201d","K2"
"61","K201d","33","T1","32.5308614525301","0.735361044984743","NP","light","K201d","K2"
"63","K201d","34","T1","33.2769903336475","0.26904373436698","NP","light","K201d","K2"
"65","K202a","27","T2","26.461193757682","0.478448691572297","NP","light","K202a","K2"
"67","K202a","28","T2","27.1470940452391","0.608312935543756","NP","light","K202a","K2"
"69","K202a","29","T2","28.3446677511286","0.761988362036855","NP","light","K202a","K2"
"71","K202a","30","T2","29.4241593221888","0.326908851226671","NP","light","K202a","K2"
"73","K202a","31","T2","29.9915962350639","0.512806754477178","NP","light","K202a","K2"
"75","K202a","32","T2","31.4375607394223","0.890858887103162","NP","light","K202a","K2"
"77","K202a","33","T2","32.3235697477799","0.620634751718719","NP","light","K202a","K2"
"79","K202a","34","T2","32.9842725312097","0.106518661367387","NP","light","K202a","K2"
"81","K202b","27","T2","26.4549239910486","0.483261683838089","NP","light","K202b","K2"
"83","K202b","28","T2","27.2788037020173","0.440827125961923","NP","light","K202b","K2"
"85","K202b","29","T2","28.4007356355267","0.691407683874582","NP","light","K202b","K2"
"87","K202b","30","T2","29.3284816442387","0.447253866744396","NP","light","K202b","K2"
"89","K202b","31","T2","30.0243118930846","0.582381139069846","NP","light","K202b","K2"
"91","K202b","32","T2","31.2850722714445","0.111976778945954","NP","light","K202b","K2"
"93","K202b","33","T2","32.5899873348162","0.334285063044133","NP","light","K202b","K2"
"95","K202b","34","T2","33.1773948622652","-0.0238902707228068","NP","light","K202b","K2"
"97","K202c","27","T2","26.430314199518","0.490611458327343","NP","light","K202c","K2"
"99","K202c","28","T2","27.1097656829685","0.539924160948185","NP","light","K202c","K2"
"101","K202c","29","T2","28.223616930696","0.445339414746375","NP","light","K202c","K2"
"103","K202c","30","T2","29.0606520127356","0.573473958672753","NP","light","K202c","K2"
"105","K202c","31","T2","30.6314483380434","0.734081579835573","NP","light","K202c","K2"
"107","K202c","32","T2","31.293244621896","0.590550271757841","NP","light","K202c","K2"
"109","K202c","33","T2","32.6118238058855","0.324003955884687","NP","light","K202c","K2"
"111","K202c","34","T2","33.1977774451845","0.149617784959856","NP","light","K202c","K2"
"113","K202d","27","T2","26.3402042856596","0.594449056883967","NP","light","K202d","K2"
"115","K202d","28","T2","27.3998401005501","0.511195980728221","NP","light","K202d","K2"
"117","K202d","29","T2","28.5864101907629","0.687692894072281","NP","light","K202d","K2"
"119","K202d","30","T2","29.275834969469","0.516028598843963","NP","light","K202d","K2"
"121","K202d","31","T2","29.8475510443882","0.623119808052104","NP","light","K202d","K2"
"123","K202d","32","T2","31.4609624702496","0.790100959697785","NP","light","K202d","K2"
"125","K202d","33","T2","32.544338030735","0.377156010895107","NP","light","K202d","K2"
"127","K202d","34","T2","33.1098707728305","-0.111120121441117","NP","light","K202d","K2"
"129","K203a","27","T3","26.4367641579402","0.461614113358134","NP","light","K203a","K2"
"131","K203a","28","T3","27.1939769047726","0.497115960382884","NP","light","K203a","K2"
"133","K203a","29","T3","28.3166720309682","0.677886358879106","NP","light","K203a","K2"
"135","K203a","30","T3","29.3736393295892","0.0294737318951922","NP","light","K203a","K2"
"137","K203a","31","T3","30.4262986842723","0.79817682647387","NP","light","K203a","K2"
"139","K203a","32","T3","31.389791091434","0.541939744926051","NP","light","K203a","K2"
"141","K203a","33","T3","32.4266128609342","0.222491971328273","NP","light","K203a","K2"
"143","K203a","34","T3","33.1084862034188","-0.0802216416023794","NP","light","K203a","K2"
"145","K203b","27","T3","26.2704818535521","0.589349190154503","NP","light","K203b","K2"
"147","K203b","28","T3","26.923023224819","0.670793148710854","NP","light","K203b","K2"
"149","K203b","29","T3","28.62893614213","0.644946780190712","NP","light","K203b","K2"
"151","K203b","30","T3","29.2476776312544","0.196096296727959","NP","light","K203b","K2"
"153","K203b","31","T3","30.5093145963465","0.889417073736012","NP","light","K203b","K2"
"155","K203b","32","T3","31.310016385235","0.801142963236717","NP","light","K203b","K2"
"157","K203b","33","T3","32.3656146213943","0.317478661328227","NP","light","K203b","K2"
"159","K203b","34","T3","33.042007669365","-0.120326799912856","NP","light","K203b","K2"
"161","K203c","27","T3","26.2791612362591","0.503687259261128","NP","light","K203c","K2"
"163","K203c","28","T3","27.2847170603684","0.492211557960109","NP","light","K203c","K2"
"165","K203c","29","T3","28.2374586862829","0.405916652203066","NP","light","K203c","K2"
"167","K203c","30","T3","29.4610892349417","0.615865111266285","NP","light","K203c","K2"
"169","K203c","31","T3","30.0650390784663","0.702103996523695","NP","light","K203c","K2"
"171","K203c","32","T3","31.2135639946031","0.386582169791723","NP","light","K203c","K2"
"173","K203c","33","T3","32.4991253622893","0.554299055349075","NP","light","K203c","K2"
"175","K203c","34","T3","33.1151515222404","0.0345066431474461","NP","light","K203c","K2"
"177","K203d","27","T3","26.4942901557542","0.469605179021421","NP","light","K203d","K2"
"179","K203d","28","T3","27.2895049835259","0.441524341990168","NP","light","K203d","K2"
"181","K203d","29","T3","28.3919486134022","0.775558642919861","NP","light","K203d","K2"
"183","K203d","30","T3","29.4161926728731","0.507489731456645","NP","light","K203d","K2"
"185","K203d","31","T3","30.1882262280699","0.613312348478425","NP","light","K203d","K2"
"187","K203d","32","T3","31.2957723843593","0.140629935718285","NP","light","K203d","K2"
"189","K203d","33","T3","32.3792426142394","0.509284009535754","NP","light","K203d","K2"
"191","K203d","34","T3","33.1130971014884","-0.010263858182364","NP","light","K203d","K2"
