fragment.ID.full,Temp.C.x,fragment.ID,genotype,run.x,temp.Cat,light_dark.x,treatment,umol.sec.corr.x,umol.cm2.hr.x,umol.cm2.hr.c.x,ln.rate.x,rate.type.x,frag.ID,fragment.ID.full.y,Temp.C.y,run.y,light_dark.y,umol.sec.corr.y,umol.cm2.hr.y,umol.cm2.hr.c.y,ln.rate.y,rate.type.y,Pnet_umol.cm2.hr,Rdark_umol.cm2.hr
K201a_2706,26.44653272,K201a,K2,2706,27,light,T1,0.00433963,0.520482356,0.520482356,-0.47725811,NP,K201a_2706,K201a_2706D,26.38771693,2706D,dark,-0.003535747,-0.424067001,0.424067001,-0.646135738,R,0.520482356,0.424067001
K201a_2801,27.12077611,K201a,K2,2801,28,light,T1,0.005054613,0.60623535,0.60623535,-0.34780674,NP,K201a_2801,K201a_2801D,27.06329229,2801D,dark,-0.003951873,-0.473975972,0.473975972,-0.555167744,R,0.60623535,0.473975972
K201a_2903,28.4809316,K201a,K2,2903,29,light,T1,0.006667328,0.79965963,0.79965963,-0.105738776,NP,K201a_2903,K201a_2903D,28.33144658,2903D,dark,-0.003751988,-0.450002316,0.450002316,-0.59783279,R,0.79965963,0.450002316
K201a_3004,29.30243299,K201a,K2,3004,30,light,T1,0.003290278,0.394626224,0.394626224,-0.703952904,NP,K201a_3004,K201a_3004D,29.22072524,3004D,dark,-0.00436143,-0.523097009,0.523097009,-0.47305306,R,0.394626224,0.523097009
K201a_3106,30.02551912,K201a,K2,3106,31,light,T1,0.003634978,0.435968512,0.435968512,-0.623679866,NP,K201a_3106,K201a_3106D,30.07509068,3106D,dark,-0.003973139,-0.476526511,0.476526511,-0.550733954,R,0.435968512,0.476526511
K201a_3202,31.44757175,K201a,K2,3202,32,light,T1,0.006861745,0.822977388,0.822977388,-0.080150544,NP,K201a_3202,K201a_3202D,31.43631617,3202D,dark,-0.004795799,-0.575194017,0.575194017,-0.392755197,R,0.822977388,0.575194017
K201a_3303,32.56415912,K201a,K2,3303,33,light,T1,0.004476051,0.536844339,0.536844339,-0.45123002,NP,K201a_3303,K201a_3303D,32.50011354,3303D,dark,-0.004564618,-0.547466828,0.547466828,-0.434687718,R,0.536844339,0.547466828
K201a_3405,32.92701723,K201a,K2,3405,34,light,T1,-5.50E-05,-0.006601794,0.006601794,-2.238654937,NP,K201a_3405,K201a_3405D,33.02253422,3405D,dark,-0.004065761,-0.487635384,0.487635384,-0.531648619,R,0.006601794,0.487635384
K201b_2703,26.41847657,K201b,K2,2703,27,light,T1,0.003641639,0.481147207,0.481147207,-0.542751186,NP,K201b_2703,K201b_2703D,26.37521728,2703D,dark,-0.00333584,-0.440743931,0.440743931,-0.614809438,R,0.481147207,0.440743931
K201b_2805,27.37569924,K201b,K2,2805,28,light,T1,0.003462568,0.457487706,0.457487706,-0.584314828,NP,K201b_2805,K201b_2805D,27.30349065,2805D,dark,-0.003357744,-0.443637932,0.443637932,-0.60947182,R,0.457487706,0.443637932
K201b_2906,28.17806804,K201b,K2,2906,29,light,T1,0.003232237,0.427055455,0.427055455,-0.640449509,NP,K201b_2906,K201b_2906D,28.19808372,2906D,dark,-0.002987286,-0.394691561,0.394691561,-0.70382082,R,0.427055455,0.394691561
K201b_3002,29.38777591,K201b,K2,3002,30,light,T1,0.004533429,0.59897396,0.59897396,-0.35814179,NP,K201b_3002,K201b_3002D,29.3666864,3002D,dark,-0.00382408,-0.505252,0.505252,-0.502110379,R,0.59897396,0.505252
K201b_3104,30.18058176,K201b,K2,3104,31,light,T1,0.005365622,0.708926433,0.708926433,-0.212047302,NP,K201b_3104,K201b_3104D,30.16648293,3104D,dark,-0.004014424,-0.530401043,0.530401043,-0.461399085,R,0.708926433,0.530401043
K201b_3205,31.1978655,K201b,K2,3205,32,light,T1,0.00413478,0.546302922,0.546302922,-0.436486966,NP,K201b_3205,K201b_3205D,31.27326885,3205D,dark,-0.003489852,-0.461092488,0.461092488,-0.577869524,R,0.546302922,0.461092488
K201b_3301,32.5590045,K201b,K2,3301,33,light,T1,0.00523804,0.692069748,0.692069748,-0.233105825,NP,K201b_3301,K201b_3301D,32.60504376,3301D,dark,-0.003863977,-0.510523342,0.510523342,-0.493438751,R,0.692069748,0.510523342
K201b_3402,33.2056714,K201b,K2,3402,34,light,T1,0.002013061,0.265973256,0.265973256,-1.005195019,NP,K201b_3402,K201b_3402D,33.24729097,3402D,dark,-0.003591109,-0.474471053,0.474471053,-0.554305569,R,0.265973256,0.474471053
K201c_2701,26.43534989,K201c,K2,2701,27,light,T1,0.008062361,0.583397576,0.583397576,-0.380678487,NP,K201c_2701,K201c_2701D,26.38673574,2701D,dark,-0.005623117,-0.406892379,0.406892379,-0.679456568,R,0.583397576,0.406892379
K201c_2803,27.30795299,K201c,K2,2803,28,light,T1,0.008841592,0.639783272,0.639783272,-0.301398012,NP,K201c_2803,K201c_2803D,27.29116523,2803D,dark,-0.005716102,-0.413620773,0.413620773,-0.666270082,R,0.639783272,0.413620773
K201c_2904,28.6130899,K201c,K2,2904,29,light,T1,0.01045922,0.756835841,0.756835841,-0.15450893,NP,K201c_2904,K201c_2904D,28.41092264,2904D,dark,-0.006399873,-0.463098913,0.463098913,-0.574299977,R,0.756835841,0.463098913
K201c_3006,29.52390021,K201c,K2,3006,30,light,T1,0.001605654,0.116186128,0.116186128,-1.531615538,NP,K201c_3006,K201c_3006D,29.40703097,3006D,dark,-0.006386205,-0.462109893,0.462109893,-0.57605791,R,0.116186128,0.462109893
K201c_3102,30.55022914,K201c,K2,3102,31,light,T1,0.011233697,0.812877518,0.812877518,-0.091153561,NP,K201c_3102,K201c_3102D,30.57396066,3102D,dark,-0.007763555,-0.561775774,0.561775774,-0.412828491,R,0.812877518,0.561775774
K201c_3203,31.4359618,K201c,K2,3203,32,light,T1,0.0104506,0.756212139,0.756212139,-0.155237107,NP,K201c_3203,K201c_3203D,31.43469021,3203D,dark,-0.007389164,-0.534684648,0.534684648,-0.454627021,R,0.756212139,0.534684648
K201c_3305,32.36407526,K201c,K2,3305,33,light,T1,0.005011013,0.362600103,0.362600103,-0.770892306,NP,K201c_3305,K201c_3305D,32.39481462,3305D,dark,-0.006611939,-0.478444158,0.478444158,-0.547413267,R,0.362600103,0.478444158
