,fragment.ID.full,Intercept,umol.L.sec,Temp.C,fragment.ID,genotype,run,temp.Cat,light_dark,treatment,surf.area.cm2,volume.mls,volume,umol.sec,BLANK,blank.rate,umol.sec.corr,umol.cm2.hr,umol.cm2.hr.c,ln.rate,rate.type,individual.ID,Pnet_umol.cm2.hr,Rdark_umol.cm2.hr
1,K201a_2706,165.3190727,0.006395957,26.44653272,K201a,K2,2706,27,light,T1,30.01574642,609.5,0.6095,0.003898336,0,-0.000441294,0.00433963,0.520482356,0.520482356,-0.47725811,NP,K201a,0.520482356,0.424067001
2,K201a_2706,165.3190727,0.006395957,26.44653272,K201a,K2,2706,27,light,T1,30.01574642,609.5,0.6095,0.003898336,0,-0.000441294,0.00433963,0.520482356,0.520482356,-0.47725811,NP,K201a,0.520482356,0.473975972
3,K201a_2706,165.3190727,0.006395957,26.44653272,K201a,K2,2706,27,light,T1,30.01574642,609.5,0.6095,0.003898336,0,-0.000441294,0.00433963,0.520482356,0.520482356,-0.47725811,NP,K201a,0.520482356,0.450002316
4,K201a_2706,165.3190727,0.006395957,26.44653272,K201a,K2,2706,27,light,T1,30.01574642,609.5,0.6095,0.003898336,0,-0.000441294,0.00433963,0.520482356,0.520482356,-0.47725811,NP,K201a,0.520482356,0.523097009
5,K201a_2706,165.3190727,0.006395957,26.44653272,K201a,K2,2706,27,light,T1,30.01574642,609.5,0.6095,0.003898336,0,-0.000441294,0.00433963,0.520482356,0.520482356,-0.47725811,NP,K201a,0.520482356,0.476526511
6,K201a_2706,165.3190727,0.006395957,26.44653272,K201a,K2,2706,27,light,T1,30.01574642,609.5,0.6095,0.003898336,0,-0.000441294,0.00433963,0.520482356,0.520482356,-0.47725811,NP,K201a,0.520482356,0.575194017
7,K201a_2706,165.3190727,0.006395957,26.44653272,K201a,K2,2706,27,light,T1,30.01574642,609.5,0.6095,0.003898336,0,-0.000441294,0.00433963,0.520482356,0.520482356,-0.47725811,NP,K201a,0.520482356,0.547466828
8,K201a_2706,165.3190727,0.006395957,26.44653272,K201a,K2,2706,27,light,T1,30.01574642,609.5,0.6095,0.003898336,0,-0.000441294,0.00433963,0.520482356,0.520482356,-0.47725811,NP,K201a,0.520482356,0.487635384
9,K201a_2801,209.6014913,0.008122743,27.12077611,K201a,K2,2801,28,light,T1,30.01574642,609.5,0.6095,0.004950812,0,-0.000103801,0.005054613,0.60623535,0.60623535,-0.34780674,NP,K201a,0.60623535,0.424067001
10,K201a_2801,209.6014913,0.008122743,27.12077611,K201a,K2,2801,28,light,T1,30.01574642,609.5,0.6095,0.004950812,0,-0.000103801,0.005054613,0.60623535,0.60623535,-0.34780674,NP,K201a,0.60623535,0.473975972
11,K201a_2801,209.6014913,0.008122743,27.12077611,K201a,K2,2801,28,light,T1,30.01574642,609.5,0.6095,0.004950812,0,-0.000103801,0.005054613,0.60623535,0.60623535,-0.34780674,NP,K201a,0.60623535,0.450002316
12,K201a_2801,209.6014913,0.008122743,27.12077611,K201a,K2,2801,28,light,T1,30.01574642,609.5,0.6095,0.004950812,0,-0.000103801,0.005054613,0.60623535,0.60623535,-0.34780674,NP,K201a,0.60623535,0.523097009
