Genotype,coral ID,Treatment,Blastate vol (ml),Protein sub sample (ml),Protein A562 - rep 1,Protein A562 - rep 2,Protein A562 - rep 3,Protein A562 - rep 4,"Protein avg A562 1,3","Protein avg A562 2,4",Final Protein Avg,Protein ug/ml ,Protein 3D ug/cm2,zoox 1,zoox 2,zoox 3,zoox 4,total zoox,sqrs 1,sqrs 2,sqrs 3,sqr 4,total sqrs,zoox/ml,zoox/coral,zoox/cm2 3D,zoox/cm2log10,zoox/protein,Chl Subsample(ml),750a,663a,630a,750b,663b,630b,663a corrected,630a corrected,663b corrected,630b corrected,Avg 663,Avg 630,C value ug ml,Chl(ug)a,Chl (ug),Chl/zoox (pg),Chl/protein,Chl ng/cm2 3D,Chl ug/cm2,Chl ug/cm2 log10,SA cm2,Coral ID,bw_ini,bw_fi,growth,growth.rate
K2,K201a,1,62.5,1.5,0.632,0.86,na,na,0.632,0.86,0.746,46.625,1.553351343,127,114,105,111,457,4,4,9,9,26,175769.2308,10985576.92,365993.7944,5.563473722,235615.5908,5,0.006,0.122,0.054,0.009,0.124,0.056,0.116,0.048,0.115,0.047,0.1155,0.0475,1.289765,80.6103125,80.6103125,7.33783151,1.728907507,2685.600797,2.685600797,0.429041457,30.01574642,K201a,6.26971,6.513332414,0.038857047,3.885704671
K2,K201c,1,75,1.5,0.509,0.569,na,na,0.509,0.569,0.539,40.425,0.812549687,102,146,141,125,514,2,2,2,2,8,642500,48187500,968577.3172,5.986134294,1192022.263,5,0.018,0.188,0.088,0.02,0.189,0.088,0.17,0.07,0.169,0.068,0.1695,0.069,1.893225,141.991875,141.991875,2.946653696,3.512476809,2854.061932,2.854061932,0.455463393,49.75080372,K201c,7.270175,7.669067654,0.054866995,5.486699477
K2,K203b,3,35,1.5,0.856,0.918,na,na,0.856,0.918,0.887,31.045,1.193845332,108,103,108,105,424,3,4,4,7,18,235555.5556,8244444.444,317042.7287,5.501117797,265564.3242,5,0.005,0.174,0.071,0.006,0.175,0.069,0.169,0.066,0.169,0.063,0.169,0.0645,1.89039,66.16365,66.16365,8.025240566,2.131217587,2544.344167,2.544344167,0.405575857,26.00420606,K203b,5.4258891,5.643230642,0.040056392,4.005639223
K2,K203d,3,40,1.5,0.331,0.33,na,na,0.331,0.33,0.3305,13.22,0.733767376,113,104,105,96,418,9,9,9,9,36,116111.1111,4644444.444,257786.8239,5.411260716,351319.5495,5,0.004,0.08,0.034,0.009,0.084,0.039,0.076,0.03,0.075,0.03,0.0755,0.03,0.843765,33.7506,33.7506,7.266875598,2.552995461,1873.30478,1.87330478,0.272608441,18.01660913,K203d,3.040934469,3.211745465,0.056170561,5.617056111
K2,K202d,2,70,1.5,0.949,0.879,na,na,0.949,0.879,0.914,63.98,1.153839959,103,111,120,116,450,6,5,6,6,23,195652.1739,13695652.17,246992.6656,5.392684057,214061.4594,5,0.03,0.09,0.087,0.028,0.088,0.086,0.06,0.057,0.06,0.058,0.06,0.0575,0.649,45.43,45.43,3.317111111,0.710065646,819.3021153,0.819302115,-0.086555924,55.44963104,K202d,8.728679688,9.287677155,0.064041469,6.404146869
K2,K202b,2,32.5,1.5,1.297,1.321,na,na,1.297,1.321,1.309,42.5425,1.12597641,105,109,118,111,443,6,5,6,8,25,177200,5759000,152424.0029,5.183053363,135370.5118,5,0.011,0.176,0.078,0.01,0.174,0.077,0.165,0.067,0.164,0.067,0.1645,0.067,1.837355,59.7140375,59.7140375,10.36882054,1.403632544,1580.457133,1.580457133,0.198782721,37.78276314,K202b,8.456283707,8.693163464,0.028012276,2.801227647
K2,K201d,1,32.5,1.5,1.14,0.947,na,na,1.14,0.947,1.0435,33.91375,1.080588529,113,139,132,119,503,3,3,2,2,10,503000,16347500,520877.8438,5.716735885,482031.6243,5,0.011,0.114,0.055,0.009,0.102,0.05,0.103,0.044,0.093,0.041,0.098,0.0425,1.09294,35.52055,35.52055,2.172842942,1.047379013,1131.785747,1.131785747,0.05376422,31.38451788,K201d,4.138735,4.530878209,0.094749533,9.474953323
K2,K20Cd,c,25,1.5,0.458,0.468,na,na,0.458,0.468,0.463,11.575,0.436480909,98,101,139,131,469,9,7,4,4,24,195416.6667,4885416.667,184223.8538,5.265345863,422066.2347,5,0.003,0.125,0.046,0.003,0.077,0.025,0.122,0.043,0.074,0.022,0.098,0.0325,1.09934,27.4835,27.4835,5.625620469,2.374384449,1036.373483,1.036373483,0.015516292,14.70584156,K20Cd,3.22165296,3.359220934,0.042701053,4.270105299
K2,K202c,2,50,1.5,0.321,0.298,na,na,0.321,0.298,0.3095,15.475,0.809560224,70,71,60,127,328,9,9,9,9,36,91111.11111,4555555.556,238319.6496,5.377159852,294381.6191,5,0.006,0.161,0.055,0.006,0.162,0.054,0.155,0.049,0.156,0.048,0.1555,0.0485,1.746325,87.31625,87.31625,19.16698171,5.642407108,4567.868364,4.567868364,0.65971358,19.11531661,K202c,3.009392653,3.180845318,0.056972514,5.697251417
K2,K201b,1,27.5,1.5,0.974,1.029,na,na,0.974,1.029,1.0015,27.54125,1.010792999,123,126,124,110,483,1,2,4,3,10,483000,13282500,487481.7957,5.687958402,482276.5851,5,0.021,0.575,0.183,0.061,0.627,0.237,0.554,0.162,0.566,0.176,0.56,0.169,6.29264,173.0476,173.0476,13.02824017,6.283215177,6351.029911,6.351029911,0.802844158,27.24717131,K201b,5.00968,5.256166428,0.04920203,4.92020304
