Genotype,coral ID,Treatment,Protein ug/ml ,Protein 3D ug/cm2,zoox/coral,zoox/cm2 3D,zoox/cm2log10,zoox/protein,C value ug ml,Chl (ug),Chl/zoox (pg),Chl/protein,Chl ng/cm2 3D,Chl ug/cm2,Chl ug/cm2 log10,SA cm2,growth.rate
K2,K201a,1,46.625,1.553351343,10985576.92,365993.7944,5.563473722,235615.5908,1.289765,80.6103125,7.33783151,1.728907507,2685.600797,2.685600797,0.429041457,30.01574642,3.885704671
K2,K201c,1,40.425,0.812549687,48187500,968577.3172,5.986134294,1192022.263,1.893225,141.991875,2.946653696,3.512476809,2854.061932,2.854061932,0.455463393,49.75080372,5.486699477
K2,K203b,3,31.045,1.193845332,8244444.444,317042.7287,5.501117797,265564.3242,1.89039,66.16365,8.025240566,2.131217587,2544.344167,2.544344167,0.405575857,26.00420606,4.005639223
K2,K203d,3,13.22,0.733767376,4644444.444,257786.8239,5.411260716,351319.5495,0.843765,33.7506,7.266875598,2.552995461,1873.30478,1.87330478,0.272608441,18.01660913,5.617056111
K2,K202d,2,63.98,1.153839959,13695652.17,246992.6656,5.392684057,214061.4594,0.649,45.43,3.317111111,0.710065646,819.3021153,0.819302115,-0.086555924,55.44963104,6.404146869
K2,K202b,2,42.5425,1.12597641,5759000,152424.0029,5.183053363,135370.5118,1.837355,59.7140375,10.36882054,1.403632544,1580.457133,1.580457133,0.198782721,37.78276314,2.801227647
K2,K201d,1,33.91375,1.080588529,16347500,520877.8438,5.716735885,482031.6243,1.09294,35.52055,2.172842942,1.047379013,1131.785747,1.131785747,0.05376422,31.38451788,9.474953323
K2,K20Cd,c,11.575,0.436480909,4885416.667,184223.8538,5.265345863,422066.2347,1.09934,27.4835,5.625620469,2.374384449,1036.373483,1.036373483,0.015516292,14.70584156,4.270105299
K2,K202c,2,15.475,0.809560224,4555555.556,238319.6496,5.377159852,294381.6191,1.746325,87.31625,19.16698171,5.642407108,4567.868364,4.567868364,0.65971358,19.11531661,5.697251417
K2,K201b,1,27.54125,1.010792999,13282500,487481.7957,5.687958402,482276.5851,6.29264,173.0476,13.02824017,6.283215177,6351.029911,6.351029911,0.802844158,27.24717131,4.92020304
K2,K203a,3,43.85,1.368458441,26000000,811400.6721,5.909235363,592930.4447,1.88975,94.4875,3.634134615,2.154789054,2948.739269,2.948739269,0.469636373,32.04335527,3.293920704
K2,K2RNi,i,42.255,1.431902882,12547058.82,425184.4677,5.628577391,296936.666,10.040225,451.810125,36.00924578,10.69246539,15310.572,15.310572,1.184991416,29.50968292,0
K2,K2RNi,i,42.255,1.431902882,12547058.82,425184.4677,5.628577391,296936.666,6.377085,286.968825,22.8714019,6.791357827,9724.564843,9.724564843,0.987870177,29.50968292,0
K2,K202a,2,43.505,1.169935943,8326315.789,223911.1852,5.350075789,191387.5598,7.079255,247.773925,29.75793031,5.695297667,6663.133446,6.663133446,0.823678511,37.1857966,3.297833378
K2,K20Ca,c,43.125,0.972775563,17285714.29,389915.8364,5.590970874,400828.1573,2.691635,134.58175,7.785721074,3.120736232,3035.775944,3.035775944,0.482269715,44.33191134,6.283953709
K2,K20Cb,c,18.3975,0.69375011,23178571.43,874039.2164,5.941530919,1259876.148,1.71487,47.158925,2.034591525,2.563333333,1778.312783,1.778312783,0.25000815,26.5189147,3.555289805
K2,K203c,3,24.3675,0.750351648,10879761.9,335021.9461,5.525073257,446486.5868,1.40786,66.87335,6.146582121,2.744366472,2059.239904,2.059239904,0.313706945,32.47477376,6.385249773
K2,K20Cc,c,36.825,0.885187915,53325000,1281809.791,6.107823585,1448065.173,5.33124,199.9215,3.749113924,5.428961303,4805.650936,4.805650936,0.681752222,41.60133615,8.416757339
M5,M503a,3,28.725,1.102326249,6083333.333,233448.8429,5.368191726,211778.358,0.957105,35.8914375,5.899962329,1.249484334,1377.339379,1.377339379,0.139040964,26.05852853,2.475674877
M5,M50Cc,c,20.4425,0.721249622,14300000,504530.7368,5.702887629,699523.0525,1.80055,58.517875,4.092159091,2.862559618,2064.620041,2.064620041,0.314840139,28.34316912,3.762029461
M5,M502c,2,18.405,0.660495863,5475000,196480.0244,5.293318403,297473.5126,1.25264,37.5792,6.863780822,2.041792991,1348.595823,1.348595823,0.12988181,27.86542814,1.081025591
M5,M50Cd,c,24.48875,2.637357366,19788888.89,2131197.871,6.328623774,808080.8081,0.94947,30.857775,1.55934854,1.260079628,3323.280289,3.323280289,0.521566972,9.285336268,2.659555842
M5,M503c,3,14.56525,0.79005381,5278750,286331.9579,5.456869823,362420.8304,0.7825,16.04125,3.038834951,1.101337087,870.1155615,0.870115562,-0.060423064,18.43576958,3.083405992
M5,M503d,3,26.695,0.716393851,4994285.714,134027.9294,5.127195308,187086.9344,1.07392,51.0112,10.21391304,1.91088968,1368.949616,1.368949616,0.136387464,37.26302225,5.261053281
